#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             166        1.136481        1.719028      0.02153663
             167        1.130136        1.715502      0.02169443
             168        1.123962         1.71198      0.02184917
             169        1.117962        1.708466      0.02200079
             170        1.112139        1.704958      0.02214925
             171        1.106497        1.701458      0.02229451
             172        1.101039        1.697967      0.02243651
             173        1.095767        1.694486      0.02257523
             174        1.090684        1.691016      0.02271063
             175        1.085792        1.687558      0.02284266
             176        1.081094        1.684112      0.02297131
             177        1.076591         1.68068      0.02309653
             178        1.072286        1.677262      0.02321829
             179         1.06818        1.673859      0.02333659
             180        1.064275        1.670472      0.02345138
             181        1.060572        1.667103      0.02356265
             182        1.057072        1.663751      0.02367039
             183        1.053775        1.660418      0.02377457
             184        1.050681        1.657104      0.02387519
             185         1.04779         1.65381      0.02397223
             186        1.045102        1.650538       0.0240657
             187        1.042615        1.647287      0.02415558
             188        1.040327        1.644058      0.02424189
             189        1.038238        1.640853      0.02432462
             190        1.036344        1.637671      0.02440378
             191        1.034643        1.634514      0.02447939
             192        1.033134        1.631382      0.02455146
             193        1.031811        1.628275      0.02462001
             194        1.030672        1.625195      0.02468506
             195        1.029712        1.622141      0.02474664
             196        1.028927        1.619114      0.02480478
             197        1.028312        1.616115       0.0248595
             198        1.027861        1.613144      0.02491084
             199        1.027571        1.610202      0.02495885
             200        1.027433        1.607288      0.02500357
             201        1.027444        1.604403      0.02504504
             202        1.027595        1.601548      0.02508331
             203        1.027881        1.598722      0.02511843
             204        1.028296        1.595926      0.02515046
             205        1.028831        1.593159      0.02517945
             206        1.029481        1.590423      0.02520546
             207        1.030239        1.587717      0.02522855
             208        1.031097        1.585041      0.02524879
             209        1.032048        1.582395      0.02526624
             210        1.033085        1.579779      0.02528096
             211          1.0342        1.577193      0.02529303
             212        1.035388        1.574638      0.02530251
             213        1.036641        1.572112      0.02530947
             214        1.037952        1.569616      0.02531399
             215        1.039314        1.567149      0.02531613
             216        1.040721        1.564712      0.02531597
             217        1.042166        1.562304      0.02531357
             218        1.043643        1.559925      0.02530901
             219        1.045145        1.557574      0.02530237
             220        1.046668        1.555252      0.02529371
             221        1.048206        1.552958       0.0252831
             222        1.049753        1.550691      0.02527061
             223        1.051305        1.548452      0.02525632
             224        1.052857        1.546239      0.02524029
             225        1.054405        1.544053      0.02522259
             226        1.055945        1.541893      0.02520328
             227        1.057472        1.539759      0.02518244
             228        1.058983        1.537651      0.02516012
             229        1.060476        1.535567      0.02513639
             230        1.061947        1.533508      0.02511131
             231        1.063394        1.531473      0.02508493
             232        1.064814        1.529461      0.02505732
             233        1.066205        1.527473      0.02502854
             234        1.067565        1.525508      0.02499863
             235        1.068895        1.523565      0.02496765
             236        1.070191        1.521643      0.02493565
             237        1.071453        1.519744      0.02490268
             238        1.072679        1.517866      0.02486879
             239         1.07387        1.516008      0.02483403
             240        1.075024         1.51417      0.02479844
             241        1.076143        1.512353      0.02476205
             242        1.077225        1.510555      0.02472493
             243        1.078271        1.508776      0.02468709
             244        1.079281        1.507016      0.02464859
             245        1.080256        1.505274      0.02460945
             246        1.081195         1.50355      0.02456972
             247          1.0821        1.501844      0.02452942
             248        1.082972        1.500155      0.02448859
             249        1.083813        1.498483      0.02444726
             250        1.084623        1.496827      0.02440546
             251        1.085402        1.495188      0.02436321
             252        1.086153        1.493565      0.02432054
             253        1.086876        1.491957      0.02427747
             254        1.087573        1.490365      0.02423404
             255        1.088245        1.488788      0.02419026
             256        1.088893        1.487226      0.02414615
             257        1.089519        1.485679      0.02410173
             258        1.090124        1.484146      0.02405703
             259        1.090709        1.482626      0.02401205
             260        1.091277        1.481121      0.02396683
             261        1.091827         1.47963      0.02392137
             262        1.092363        1.478152      0.02387569
             263        1.092883        1.476687      0.02382981
             264        1.093391        1.475235      0.02378373
             265        1.093888        1.473796      0.02373747
             266        1.094375        1.472369      0.02369105
             267        1.094851        1.470955      0.02364448
             268        1.095319        1.469554      0.02359776
             269        1.095779        1.468164      0.02355091
             270        1.096232        1.466787      0.02350394
             271        1.096679        1.465421      0.02345685
             272        1.097121        1.464067      0.02340966
             273        1.097558        1.462725      0.02336237
             274         1.09799        1.461393        0.023315
             275        1.098418        1.460073      0.02326755
             276        1.098842        1.458765      0.02322003
             277        1.099263        1.457467      0.02317245
             278         1.09968         1.45618       0.0231248
             279        1.100093        1.454904      0.02307711
             280        1.100504        1.453638      0.02302938
             281        1.100911        1.452383      0.02298161
             282        1.101314        1.451138      0.02293381
             283        1.101714        1.449903      0.02288598
             284        1.102109        1.448678      0.02283814
             285          1.1025        1.447464      0.02279028
             286        1.102887        1.446259      0.02274242
             287        1.103269        1.445064      0.02269456
             288        1.103647        1.443878       0.0226467
             289         1.10402        1.442702      0.02259885
             290        1.104387        1.441536      0.02255101
             291        1.104748        1.440378       0.0225032
             292        1.105103         1.43923      0.02245541
             293        1.105451        1.438091      0.02240764
