#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             161       0.5134951       0.8938248      0.03318374
             162       0.5173464       0.8915009      0.03306018
             163       0.5211932        0.889229      0.03293532
             164       0.5250305       0.8870083      0.03280928
             165       0.5288529       0.8848377      0.03268216
             166       0.5326555       0.8827161      0.03255407
             167       0.5364333       0.8806425       0.0324251
             168        0.540182        0.878616      0.03229536
             169       0.5438973       0.8766354      0.03216494
             170       0.5475751       0.8746998      0.03203392
             171       0.5512116        0.872808       0.0319024
             172       0.5548034       0.8709592      0.03177045
             173       0.5583473       0.8691521      0.03163815
             174       0.5618401        0.867386      0.03150558
             175       0.5652791       0.8656597      0.03137281
             176       0.5686614       0.8639722      0.03123991
             177       0.5719846       0.8623225      0.03110694
             178       0.5752465       0.8607097      0.03097396
             179       0.5784452       0.8591328      0.03084103
             180       0.5815789       0.8575909      0.03070822
             181       0.5846459       0.8560829      0.03057556
             182       0.5876448        0.854608      0.03044312
             183       0.5905744       0.8531651      0.03031093
             184        0.593434       0.8517536      0.03017905
             185       0.5962228       0.8503723      0.03004751
             186       0.5989401       0.8490205      0.02991636
             187       0.6015855       0.8476973      0.02978563
             188       0.6041591       0.8464019      0.02965535
             189       0.6066605       0.8451335      0.02952556
             190       0.6090891       0.8438911      0.02939628
             191       0.6114451       0.8426741      0.02926756
             192       0.6137291       0.8414817       0.0291394
             193       0.6159418       0.8403131      0.02901185
             194       0.6180836       0.8391676      0.02888491
             195       0.6201551       0.8380444      0.02875861
             196       0.6221571        0.836943      0.02863296
             197       0.6240909       0.8358625        0.028508
             198       0.6259574       0.8348024      0.02838372
             199       0.6277575        0.833762      0.02826015
             200       0.6294933       0.8327406       0.0281373
             201       0.6311661       0.8317378      0.02801518
             202       0.6327773       0.8307528       0.0278938
             203       0.6343278       0.8297852      0.02777317
             204       0.6358192       0.8288344       0.0276533
             205       0.6372533       0.8278998      0.02753419
             206       0.6386315       0.8269811      0.02741586
             207       0.6399558       0.8260776       0.0272983
             208       0.6412284       0.8251889      0.02718152
             209       0.6424509       0.8243145      0.02706552
             210       0.6436256       0.8234541      0.02695031
             211       0.6447544       0.8226072      0.02683589
             212        0.645839       0.8217734      0.02672225
             213       0.6468818       0.8209523      0.02660941
             214       0.6478845       0.8201435      0.02649735
             215       0.6488494       0.8193468      0.02638608
             216       0.6497786       0.8185618       0.0262756
             217       0.6506737       0.8177881       0.0261659
             218       0.6515368       0.8170255      0.02605699
             219       0.6523702       0.8162736      0.02594885
             220        0.653176       0.8155323      0.02584149
             221       0.6539569       0.8148012       0.0257349
             222       0.6547145       0.8140801      0.02562908
             223       0.6554501       0.8133687      0.02552402
             224       0.6561656       0.8126669      0.02541972
             225       0.6568631       0.8119745      0.02531617
             226       0.6575443       0.8112911      0.02521337
             227       0.6582107       0.8106168      0.02511132
             228       0.6588641       0.8099512         0.02501
             229       0.6595069       0.8092942      0.02490941
             230       0.6601405       0.8086457      0.02480955
             231       0.6607663       0.8080056      0.02471041
             232       0.6613857       0.8073736      0.02461198
