#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             134         1.04028        1.040093    7.254578e-06
             135        1.040284        1.040095    7.336853e-06
             136        1.040288        1.040096    7.419467e-06
             137        1.040293        1.040098    7.502421e-06
             138        1.040297        1.040099    7.585712e-06
             139        1.040301        1.040101    7.669339e-06
             140        1.040306        1.040102    7.753299e-06
             141         1.04031        1.040104    7.837592e-06
             142        1.040315        1.040105    7.922215e-06
             143        1.040319        1.040107    8.007166e-06
             144        1.040324        1.040108    8.092445e-06
             145        1.040328         1.04011    8.178048e-06
             146        1.040333        1.040111    8.263976e-06
             147        1.040338        1.040113    8.350228e-06
             148        1.040342        1.040114    8.436806e-06
             149        1.040347        1.040116    8.523708e-06
             150        1.040352        1.040117    8.610934e-06
             151        1.040357        1.040119    8.698488e-06
             152        1.040361        1.040121    8.786369e-06
             153        1.040366        1.040122    8.874578e-06
             154        1.040371        1.040124    8.963116e-06
             155        1.040376        1.040125    9.051979e-06
             156        1.040381        1.040127    9.141168e-06
             157        1.040386        1.040129     9.23068e-06
             158        1.040391         1.04013    9.320515e-06
             159        1.040396        1.040132    9.410674e-06
             160        1.040401        1.040134    9.501158e-06
             161        1.040406        1.040135    9.591971e-06
             162        1.040412        1.040137    9.683109e-06
             163        1.040417        1.040139    9.774571e-06
             164        1.040422        1.040141    9.866355e-06
             165        1.040427        1.040142     9.95846e-06
             166        1.040433        1.040144    1.005088e-05
             167        1.040438        1.040146    1.014363e-05
             168        1.040443        1.040148    1.023669e-05
             169        1.040449        1.040149    1.033006e-05
             170        1.040454        1.040151    1.042375e-05
             171         1.04046        1.040153    1.051775e-05
             172        1.040465        1.040155    1.061206e-05
             173        1.040471        1.040157    1.070669e-05
             174        1.040476        1.040158    1.080163e-05
             175        1.040482         1.04016    1.089689e-05
             176        1.040488        1.040162    1.099247e-05
             177        1.040493        1.040164    1.108836e-05
             178        1.040499        1.040166    1.118458e-05
             179        1.040505        1.040168    1.128112e-05
             180         1.04051         1.04017    1.137797e-05
             181        1.040516        1.040172    1.147514e-05
             182        1.040522        1.040174    1.157262e-05
             183        1.040528        1.040175    1.167042e-05
             184        1.040534        1.040177    1.176853e-05
             185         1.04054        1.040179    1.186697e-05
             186        1.040546        1.040181    1.196573e-05
             187        1.040552        1.040183    1.206481e-05
             188        1.040558        1.040185    1.216421e-05
             189        1.040564        1.040187    1.226392e-05
             190         1.04057        1.040189    1.236396e-05
             191        1.040577        1.040191    1.246431e-05
             192        1.040583        1.040193    1.256498e-05
             193        1.040589        1.040195    1.266597e-05
             194        1.040595        1.040198    1.276727e-05
             195        1.040602          1.0402    1.286888e-05
             196        1.040608        1.040202    1.297081e-05
             197        1.040614        1.040204    1.307306e-05
             198        1.040621        1.040206    1.317562e-05
             199        1.040627        1.040208     1.32785e-05
             200        1.040634         1.04021    1.338168e-05
             201         1.04064        1.040212    1.348518e-05
             202        1.040647        1.040214    1.358899e-05
             203        1.040653        1.040217    1.369312e-05
             204         1.04066        1.040219    1.379755e-05
             205        1.040667        1.040221    1.390229e-05
             206        1.040674        1.040223    1.400735e-05
             207         1.04068        1.040225    1.411272e-05
             208        1.040687        1.040228     1.42184e-05
             209        1.040694         1.04023    1.432439e-05
             210        1.040701        1.040232    1.443069e-05
             211        1.040708        1.040234    1.453731e-05
             212        1.040715        1.040237    1.464424e-05
