#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
             152        1.528132        1.528156    5.942473e-07
             153        1.528132        1.528156    6.116349e-07
             154        1.528132        1.528156    6.279027e-07
             155        1.528132        1.528156    6.431611e-07
             156        1.528132        1.528156    6.575046e-07
             157        1.528129        1.528155    6.746054e-07
             158        1.528129        1.528155    6.906658e-07
             159        1.528124        1.528155    7.132947e-07
             160        1.528124        1.528155    7.344398e-07
             161        1.528124        1.528155    7.542402e-07
             162        1.528124        1.528155    7.728235e-07
             163        1.528124        1.528154     7.90309e-07
             164        1.528124        1.528154    8.067884e-07
             165        1.528124        1.528154    8.223399e-07
             166        1.528124        1.528154    8.370402e-07
             167        1.528124        1.528154    8.509513e-07
             168        1.528124        1.528153    8.641343e-07
             169        1.528124        1.528153    8.766355e-07
             170        1.528121        1.528153     8.91316e-07
             171        1.528121        1.528153    9.052382e-07
             172        1.528121        1.528153    9.184428e-07
             173        1.528119        1.528153    9.337496e-07
             174        1.528114        1.528152    9.541786e-07
             175        1.528112        1.528152    9.766058e-07
             176        1.528109        1.528152    1.000947e-06
             177        1.528109        1.528152      1.0239e-06
             178        1.528109        1.528151     1.04558e-06
             179        1.528109        1.528151    1.066089e-06
             180        1.528109        1.528151    1.085519e-06
             181        1.528109        1.528151    1.103945e-06
             182        1.528104         1.52815    1.127033e-06
             183        1.528099         1.52815    1.154853e-06
             184        1.528099         1.52815    1.181119e-06
             185        1.528097         1.52815    1.208917e-06
             186        1.528094        1.528149    1.238167e-06
             187        1.528094        1.528149    1.265811e-06
             188        1.528094        1.528149    1.291972e-06
             189        1.528094        1.528148    1.316769e-06
             190        1.528092        1.528148    1.342998e-06
             191        1.528092        1.528148    1.367883e-06
             192        1.528089        1.528148    1.394151e-06
             193        1.528089        1.528147    1.419094e-06
             194        1.528089        1.528147    1.442807e-06
             195        1.528087        1.528147    1.467861e-06
             196        1.528084        1.528146    1.494203e-06
             197        1.528084        1.528146    1.519259e-06
             198        1.528084        1.528146    1.543111e-06
             199        1.528084        1.528145    1.565842e-06
             200        1.528082        1.528145    1.589834e-06
             201        1.528082        1.528145    1.612714e-06
             202        1.528079        1.528144    1.636812e-06
             203        1.528079        1.528144    1.659805e-06
             204        1.528077        1.528144    1.683981e-06
             205        1.528077        1.528143    1.707061e-06
             206        1.528074        1.528143    1.731288e-06
             207         1.52807        1.528143    1.758886e-06
             208        1.528067        1.528142    1.787488e-06
             209        1.528067        1.528142    1.814777e-06
             210        1.528067        1.528142    1.840834e-06
             211        1.528067        1.528141    1.865733e-06
             212        1.528067        1.528141    1.889543e-06
             213        1.528067        1.528141    1.912327e-06
             214        1.528067         1.52814     1.93414e-06
             215        1.528064         1.52814    1.956984e-06
             216        1.528057         1.52814    1.984921e-06
             217        1.528057        1.528139    2.011646e-06
             218        1.528055        1.528139    2.039252e-06
             219        1.528052        1.528138    2.067703e-06
             220        1.528052        1.528138    2.094935e-06
             221         1.52805        1.528138    2.122994e-06
             222        1.528047        1.528137     2.15185e-06
             223        1.528043        1.528137    2.183497e-06
             224        1.528031        1.528136     2.22439e-06
             225        1.528031        1.528136    2.263422e-06
             226        1.528028        1.528135    2.302844e-06
             227        1.528026        1.528135    2.342631e-06
             228        1.528023        1.528134    2.382758e-06
             229        1.528023        1.528134    2.421118e-06
             230        1.528019        1.528133    2.461921e-06
             231        1.528014        1.528133     2.50509e-06
             232        1.528014        1.528132    2.546361e-06
             233        1.528011        1.528132     2.58787e-06
             234        1.528007        1.528131    2.631634e-06
             235        1.528006        1.528131    2.673509e-06
             236        1.528006         1.52813     2.71361e-06
             237        1.528002         1.52813      2.7559e-06
             238        1.528002        1.528129    2.796419e-06
             239        1.527994        1.528129    2.841006e-06
             240        1.527994        1.528128    2.883726e-06
             241        1.527992        1.528127    2.926563e-06
             242        1.527992        1.528127    2.967649e-06
             243        1.527992        1.528126     3.00708e-06
             244        1.527992        1.528126    3.044949e-06
             245        1.527989        1.528125    3.083069e-06
             246        1.527982        1.528125    3.124944e-06
             247        1.527982        1.528124    3.165169e-06
             248        1.527982        1.528123     3.20383e-06
             249         1.52798        1.528123    3.242686e-06
             250         1.52798        1.528122     3.28006e-06
             251        1.527975        1.528122    3.319309e-06
             252        1.527975        1.528121    3.357073e-06
             253         1.52797        1.528121    3.396665e-06
