#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
               1        -6.36472        -6.36472               0
               2        -6.36464        -6.36468     2.86437e-05
               3         -6.3645        -6.36462     5.14121e-05
               4        -6.36431        -6.36454     7.65811e-05
               5        -6.36407        -6.36445     0.000104272
               6        -6.36378        -6.36434      0.00013437
               7        -6.36343        -6.36421      0.00016674
               8        -6.36302        -6.36406     0.000201262
               9        -6.36256        -6.36389     0.000237837
              10        -6.36205        -6.36371     0.000276378
              11        -6.36148        -6.36351     0.000316815
              12        -6.36086        -6.36329     0.000359088
              13        -6.36018        -6.36305     0.000403149
              14        -6.35945        -6.36279     0.000448957
              15        -6.35866        -6.36251     0.000496478
              16        -6.35781        -6.36222     0.000545685
              17         -6.3569        -6.36191     0.000596556
              18        -6.35594        -6.36158     0.000649074
              19        -6.35491        -6.36122     0.000703227
              20        -6.35383        -6.36086     0.000759006
              21        -6.35269        -6.36047     0.000816405
              22        -6.35149        -6.36006     0.000875423
              23        -6.35022        -6.35963      0.00093606
              24        -6.34889        -6.35918     0.000998319
              25        -6.34735        -6.35871      0.00106475
              26        -6.34574        -6.35821      0.00113468
              27        -6.34422        -6.35769      0.00120524
              28        -6.34263        -6.35715      0.00127668
              29        -6.34097         -6.3566      0.00134917
              30        -6.33909        -6.35601      0.00142485
              31        -6.33699         -6.3554      0.00150525
              32        -6.33497        -6.35476      0.00158784
              33        -6.33303         -6.3541      0.00167073
              34        -6.33056        -6.35341      0.00175926
              35        -6.32816        -6.35269      0.00185095
              36          -6.326        -6.35195      0.00194237
              37        -6.32375        -6.35118      0.00203391
              38        -6.32112        -6.35039      0.00212875
              39        -6.31855        -6.34958      0.00222522
              40        -6.31575        -6.34873       0.0023247
              41        -6.31317        -6.34786      0.00242439
              42        -6.31035        -6.34697      0.00252584
              43        -6.30714        -6.34604      0.00263148
              44        -6.30398        -6.34509       0.0027398
              45        -6.30104        -6.34411      0.00284842
              46        -6.29739        -6.34309      0.00296201
              47        -6.29395        -6.34205      0.00307799
              48        -6.29056        -6.34098      0.00319528
              49        -6.28677        -6.33987      0.00331604
