#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             154         1.56056         1.56019     1.34447e-05
             155         1.56056         1.56019      1.3578e-05
             156         1.56057         1.56019     1.37118e-05
             157         1.56058         1.56019      1.3846e-05
             158         1.56059          1.5602     1.39808e-05
             159         1.56059          1.5602      1.4116e-05
             160          1.5606          1.5602     1.42517e-05
             161         1.56061          1.5602      1.4388e-05
             162         1.56062         1.56021     1.45247e-05
             163         1.56063         1.56021     1.46619e-05
             164         1.56063         1.56021     1.47995e-05
             165         1.56064         1.56021     1.49377e-05
             166         1.56065         1.56022     1.50763e-05
             167         1.56066         1.56022     1.52154e-05
             168         1.56066         1.56022      1.5355e-05
             169         1.56067         1.56022     1.54951e-05
             170         1.56068         1.56023     1.56356e-05
             171         1.56069         1.56023     1.57766e-05
             172          1.5607         1.56023     1.59181e-05
             173         1.56071         1.56023       1.606e-05
             174         1.56071         1.56024     1.62024e-05
             175         1.56072         1.56024     1.63453e-05
             176         1.56073         1.56024     1.64887e-05
             177         1.56074         1.56025     1.66325e-05
             178         1.56075         1.56025     1.67769e-05
             179         1.56076         1.56025     1.69217e-05
             180         1.56077         1.56025      1.7067e-05
             181         1.56077         1.56026     1.72127e-05
             182         1.56078         1.56026     1.73589e-05
             183         1.56079         1.56026     1.75056e-05
             184          1.5608         1.56027     1.76528e-05
             185         1.56081         1.56027     1.78005e-05
             186         1.56082         1.56027     1.79486e-05
             187         1.56083         1.56027     1.80972e-05
             188         1.56084         1.56028     1.82463e-05
             189         1.56085         1.56028     1.83959e-05
             190         1.56086         1.56028     1.85459e-05
             191         1.56086         1.56029     1.86965e-05
             192         1.56087         1.56029     1.88475e-05
             193         1.56088         1.56029     1.89989e-05
             194         1.56089          1.5603     1.91509e-05
             195          1.5609          1.5603     1.93033e-05
             196         1.56091          1.5603     1.94562e-05
             197         1.56092         1.56031     1.96096e-05
             198         1.56093         1.56031     1.97634e-05
             199         1.56094         1.56031     1.99177e-05
             200         1.56095         1.56032     2.00725e-05
             201         1.56096         1.56032     2.02278e-05
             202         1.56097         1.56032     2.03835e-05
             203         1.56098         1.56032     2.05397e-05
             204         1.56099         1.56033     2.06963e-05
             205           1.561         1.56033     2.08534e-05
             206         1.56101         1.56033      2.1011e-05
             207         1.56102         1.56034     2.11691e-05
             208         1.56103         1.56034     2.13276e-05
             209         1.56104         1.56034     2.14866e-05
             210         1.56105         1.56035      2.1646e-05
             211         1.56106         1.56035      2.1806e-05
             212         1.56107         1.56035     2.19664e-05
             213         1.56108         1.56036     2.21272e-05
             214         1.56109         1.56036     2.22885e-05
             215          1.5611         1.56037     2.24503e-05
             216         1.56111         1.56037     2.26126e-05
             217         1.56112         1.56037     2.27753e-05
             218         1.56114         1.56038     2.29385e-05
             219         1.56115         1.56038     2.31021e-05
             220         1.56116         1.56038     2.32662e-05
             221         1.56117         1.56039     2.34308e-05
             222         1.56118         1.56039     2.35958e-05
             223         1.56119         1.56039     2.37614e-05
             224          1.5612          1.5604     2.39273e-05
             225         1.56121          1.5604     2.40938e-05
             226         1.56122          1.5604     2.42607e-05
             227         1.56123         1.56041     2.44281e-05
             228         1.56125         1.56041      2.4596e-05
             229         1.56126         1.56042     2.47644e-05
             230         1.56127         1.56042     2.49332e-05
             231         1.56128         1.56042     2.51026e-05
             232         1.56129         1.56043     2.52724e-05
             233          1.5613         1.56043     2.54427e-05
             234         1.56132         1.56043     2.56134e-05
             235         1.56133         1.56044     2.57847e-05
             236         1.56134         1.56044     2.59564e-05
             237         1.56135         1.56045     2.61286e-05
             238         1.56136         1.56045     2.63013e-05
             239         1.56137         1.56045     2.64745e-05
             240         1.56139         1.56046     2.66481e-05
             241          1.5614         1.56046     2.68222e-05
             242         1.56141         1.56046     2.69969e-05
             243         1.56142         1.56047     2.71719e-05
             244         1.56143         1.56047     2.73475e-05
             245         1.56145         1.56048     2.75235e-05
             246         1.56146         1.56048     2.77001e-05
             247         1.56147         1.56048     2.78771e-05
             248         1.56148         1.56049     2.80545e-05
             249          1.5615         1.56049     2.82325e-05
             250         1.56151          1.5605     2.84109e-05
             251         1.56152          1.5605     2.85898e-05
             252         1.56153         1.56051     2.87692e-05
             253         1.56155         1.56051      2.8949e-05
             254         1.56156         1.56051     2.91294e-05
             255         1.56157         1.56052     2.93102e-05
             256         1.56159         1.56052     2.94914e-05
             257          1.5616         1.56053     2.96732e-05
             258         1.56161         1.56053     2.98554e-05
             259         1.56163         1.56053     3.00381e-05
             260         1.56164         1.56054     3.02213e-05
             261         1.56165         1.56054      3.0405e-05
