#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
               1        -7.85024        -7.85024               0
               2        -7.84959        -7.84991     0.000229803
               3        -7.84851        -7.84944     0.000412469
               4        -7.84699        -7.84883     0.000614305
               5        -7.84505        -7.84808     0.000836193
               6        -7.84268        -7.84718      0.00107709
               7        -7.83988        -7.84613      0.00133581
               8        -7.83665        -7.84495      0.00161124
               9        -7.83267        -7.84358      0.00192483
              10        -7.82827        -7.84205      0.00226068
              11        -7.82248        -7.84027      0.00266481
              12         -7.8166         -7.8383      0.00308784
              13        -7.81063        -7.83617      0.00350824
              14        -7.80359        -7.83384      0.00395507
              15        -7.79581        -7.83131      0.00443022
              16        -7.78859        -7.82864        0.004892
              17        -7.77903        -7.82572       0.0054051
              18        -7.77002        -7.82263      0.00592477
              19        -7.75996        -7.81933      0.00646609
              20        -7.74917        -7.81582      0.00703015
              21        -7.73831        -7.81213      0.00760291
              22        -7.72639        -7.80823      0.00819552
              23         -7.7144        -7.80415      0.00879621
              24        -7.70298        -7.79994      0.00938562
              25        -7.69148         -7.7956      0.00996243
              26        -7.67926        -7.79112       0.0105362
              27        -7.66568        -7.78648       0.0111233
              28        -7.65171        -7.78166       0.0117212
              29        -7.63767         -7.7767        0.012324
              30        -7.62292        -7.77157       0.0129353
              31        -7.60746        -7.76628       0.0135581
              32        -7.59357        -7.76088        0.014168
              33        -7.57961        -7.75539       0.0147652
              34        -7.56561        -7.74981       0.0153498
              35        -7.54961        -7.74409       0.0159414
              36        -7.53453        -7.73827       0.0165272
              37        -7.51845        -7.73233       0.0171151
              38        -7.50232        -7.72627       0.0177026
              39        -7.48552         -7.7201       0.0182934
              40        -7.46869        -7.71381        0.018885
              41        -7.45151        -7.70742        0.019478
              42        -7.43496        -7.70093       0.0200654
              43        -7.41646        -7.69431       0.0206605
              44        -7.39829        -7.68759       0.0212582
              45        -7.38011        -7.68075       0.0218563
              46        -7.36162        -7.67382       0.0224553
              47        -7.34282        -7.66677       0.0230554
              48        -7.32308        -7.65961       0.0236608
              49        -7.30305        -7.65234       0.0242711
              50        -7.28371        -7.64496       0.0248802
              51         -7.2641         -7.6375       0.0254885
              52        -7.24423        -7.62993       0.0260962
              53        -7.22378        -7.62227       0.0267053
              54        -7.20147        -7.61448       0.0273241
              55        -7.18088        -7.60659       0.0279414
              56        -7.15877         -7.5986       0.0285639
              57        -7.13678         -7.5905       0.0291892
              58        -7.11558        -7.58231       0.0298123
              59        -7.09451        -7.57404       0.0304319
              60        -7.07295        -7.56569       0.0310495
              61        -7.05157        -7.55726       0.0316637
              62        -7.03005        -7.54876       0.0322746
              63        -7.00808        -7.54017       0.0328836
              64          -6.986        -7.53152       0.0334904
              65        -6.96416        -7.52279       0.0340936
              66         -6.9416        -7.51398       0.0346957
              67         -6.9193         -7.5051       0.0352949
              68        -6.89696        -7.49616        0.035891
              69        -6.87363        -7.48714       0.0364872
              70        -6.85127        -7.47806       0.0370795
              71        -6.82892        -7.46891       0.0376675
              72        -6.80596        -7.45971       0.0382532
              73        -6.78337        -7.45044        0.038835
              74         -6.7615        -7.44113       0.0394103
              75        -6.73972        -7.43178       0.0399791
              76        -6.71805        -7.42239       0.0405411
              77        -6.69586        -7.41295       0.0410979
              78        -6.67447        -7.40348       0.0416473
              79        -6.65292        -7.39398       0.0421899
              80        -6.63188        -7.38446       0.0427244
              81        -6.61072         -7.3749       0.0432516
              82        -6.59012        -7.36533       0.0437703
              83        -6.56975        -7.35575         0.04428
              84        -6.54933        -7.34615       0.0447815
              85        -6.52984        -7.33654       0.0452727
              86        -6.51032        -7.32694       0.0457543
              87        -6.49113        -7.31733        0.046226
              88        -6.47194        -7.30772       0.0466882
              89        -6.45343        -7.29812         0.04714
              90        -6.43496        -7.28853       0.0475819
              91         -6.4172        -7.27896       0.0480127
              92        -6.39887        -7.26939       0.0484345
              93        -6.38191        -7.25985       0.0488447
              94        -6.36539        -7.25033       0.0492433
              95        -6.34929        -7.24085       0.0496299
              96        -6.33333         -7.2314       0.0500052
              97        -6.31782        -7.22198       0.0503688
              98         -6.3031         -7.2126         0.05072
              99        -6.28854        -7.20327       0.0510593
             100        -6.27415        -7.19398       0.0513872
             101        -6.26057        -7.18474       0.0517027
             102        -6.24781        -7.17555       0.0520054
             103        -6.23557        -7.16642       0.0522951
             104        -6.22383        -7.15736       0.0525718
             105        -6.21229        -7.14836       0.0528359
             106        -6.20159        -7.13943       0.0530871
             107        -6.19109        -7.13056       0.0533257
             108         -6.1811        -7.12177       0.0535517
             109        -6.17196        -7.11306       0.0537646
             110        -6.16367        -7.10443       0.0539642
             111        -6.15557        -7.09588       0.0541508
             112        -6.14831        -7.08742       0.0543242
             113        -6.14157        -7.07905       0.0544845
             114        -6.13469        -7.07077       0.0546327
             115        -6.12831        -7.06257       0.0547689
             116        -6.12309        -7.05447       0.0548923
             117        -6.11803        -7.04647       0.0550035
             118        -6.11314        -7.03856       0.0551032
             119        -6.10872        -7.03074       0.0551914
             120        -6.10511        -7.02303       0.0552678
             121        -6.10196        -7.01542       0.0553328
             122        -6.09893        -7.00791       0.0553869
             123        -6.09668         -7.0005       0.0554298
             124        -6.09487        -6.99319       0.0554618
             125         -6.0938          -6.986       0.0554829
             126        -6.09251        -6.97891       0.0554939
             127        -6.09194        -6.97192       0.0554947
             128        -6.09176        -6.96505       0.0554855
             129        -6.09196        -6.95828       0.0554666
             130        -6.09285        -6.95162        0.055438
             131        -6.09345        -6.94507       0.0554005
             132        -6.09439        -6.93863       0.0553544
             133        -6.09631        -6.93229       0.0552993
             134        -6.09855        -6.92607       0.0552355
             135        -6.10077        -6.91996       0.0551637
             136        -6.10328        -6.91395       0.0550839
             137        -6.10607        -6.90806       0.0549966
             138        -6.10881        -6.90227       0.0549022
             139        -6.11244        -6.89658       0.0548004
             140        -6.11566          -6.891       0.0546922
             141        -6.11911        -6.88553       0.0545776
             142        -6.12278        -6.88016       0.0544569
             143        -6.12697        -6.87489       0.0543302
             144        -6.13134        -6.86973       0.0541977
             145        -6.13621        -6.86467       0.0540595
             146        -6.14093        -6.85971       0.0539161
             147        -6.14546        -6.85485       0.0537678
             148        -6.15014        -6.85009       0.0536149
             149        -6.15494        -6.84543       0.0534577
             150        -6.15985        -6.84086       0.0532963
             151        -6.16551        -6.83638       0.0531307
             152        -6.17094        -6.83201       0.0529612
             153        -6.17645        -6.82772       0.0527881
             154        -6.18235        -6.82353       0.0526114
             155        -6.18896        -6.81944        0.052431
             156        -6.19464        -6.81543       0.0522477
             157        -6.20036        -6.81151       0.0520615
             158        -6.20611        -6.80768       0.0518729
             159        -6.21188        -6.80393       0.0516818
             160        -6.21765        -6.80027       0.0514885
             161        -6.22311        -6.79669       0.0512933
             162        -6.22823        -6.79318       0.0510966
             163        -6.23334        -6.78974       0.0508984
             164        -6.23907        -6.78638       0.0506987
             165        -6.24413         -6.7831       0.0504978
             166         -6.2498        -6.77989       0.0502957
             167        -6.25509        -6.77674       0.0500926
             168        -6.26067        -6.77367       0.0498886
             169        -6.26618        -6.77067       0.0496837
             170        -6.27196        -6.76773       0.0494779
             171        -6.27735        -6.76487       0.0492716
             172        -6.28299        -6.76206       0.0490647
             173        -6.28791        -6.75932       0.0488576
             174        -6.29307        -6.75664       0.0486503
             175        -6.29814        -6.75402       0.0484428
             176        -6.30312        -6.75146       0.0482352
             177        -6.30802        -6.74896       0.0480277
             178        -6.31249        -6.74651       0.0478205
             179        -6.31719        -6.74411       0.0476134
             180        -6.32179        -6.74176       0.0474067
             181        -6.32629        -6.73947       0.0472003
             182        -6.33069        -6.73722       0.0469943
             183        -6.33498        -6.73502       0.0467889
             184        -6.33916        -6.73287       0.0465841
             185        -6.34356        -6.73077       0.0463798
             186        -6.34785        -6.72871       0.0461761
             187        -6.35204        -6.72669       0.0459731
             188        -6.35579        -6.72472       0.0457708
             189        -6.35943        -6.72279       0.0455695
             190        -6.36296        -6.72089        0.045369
             191        -6.36639        -6.71904       0.0451694
             192        -6.36939        -6.71722       0.0449708
             193        -6.37227        -6.71543       0.0447733
             194        -6.37538        -6.71368       0.0445768
             195        -6.37871        -6.71196       0.0443813
             196        -6.38128        -6.71027       0.0441869
             197        -6.38408        -6.70861       0.0439936
             198        -6.38678        -6.70699       0.0438015
             199        -6.38906        -6.70539       0.0436105
             200        -6.39157        -6.70382       0.0434206
             201        -6.39367        -6.70228        0.043232
             202        -6.39599        -6.70076       0.0430446
             203         -6.3979        -6.69927       0.0428584
             204        -6.39973         -6.6978       0.0426734
             205         -6.4018        -6.69636       0.0424897
             206        -6.40411        -6.69494       0.0423071
             207        -6.40634        -6.69355       0.0421257
             208        -6.40817        -6.69217       0.0419455
             209        -6.41026        -6.69083       0.0417665
             210        -6.41195         -6.6895       0.0415887
             211        -6.41423        -6.68819       0.0414121
             212        -6.41547        -6.68691       0.0412367
             213         -6.4173        -6.68564       0.0410625
             214        -6.41907         -6.6844       0.0408895
             215        -6.42078        -6.68317       0.0407177
             216        -6.42213        -6.68196       0.0405472
             217         -6.4231        -6.68077       0.0403778
             218        -6.42467        -6.67959       0.0402097
             219        -6.42588        -6.67843       0.0400428
             220        -6.42672        -6.67729       0.0398771
             221        -6.42819        -6.67616       0.0397126
             222        -6.42929        -6.67505       0.0395493
             223        -6.43004        -6.67395       0.0393872
             224        -6.43141        -6.67287       0.0392262
             225        -6.43243         -6.6718       0.0390665
             226        -6.43343        -6.67075       0.0389078
             227        -6.43408         -6.6697       0.0387504
             228         -6.4357        -6.66868        0.038594
             229        -6.43632        -6.66766       0.0384388
             230        -6.43726        -6.66666       0.0382848
             231        -6.43851        -6.66567       0.0381318
             232        -6.43976         -6.6647       0.0379798
             233        -6.44003        -6.66374       0.0378291
             234        -6.44127        -6.66278       0.0376794
             235        -6.44218        -6.66185       0.0375307
             236        -6.44342        -6.66092       0.0373831
             237        -6.44434        -6.66001       0.0372365
             238        -6.44559        -6.65911        0.037091
             239        -6.44685        -6.65822       0.0369464
             240        -6.44844        -6.65734       0.0368028
             241        -6.44972        -6.65648       0.0366602
             242        -6.45068        -6.65563       0.0365185
             243        -6.45166        -6.65479       0.0363779
             244        -6.45298        -6.65396       0.0362382
             245          -6.454        -6.65315       0.0360995
             246        -6.45503        -6.65234       0.0359617
             247        -6.45641        -6.65155       0.0358249
             248        -6.45716        -6.65077        0.035689
             249        -6.45858        -6.64999        0.035554
             250        -6.46003        -6.64923       0.0354199
             251        -6.46085        -6.64848       0.0352868
             252         -6.4617        -6.64774       0.0351545
             253         -6.4629        -6.64701       0.0350232
             254        -6.46478        -6.64629       0.0348926
             255        -6.46669        -6.64559       0.0347629
             256        -6.46798         -6.6449        0.034634
             257        -6.46995        -6.64422       0.0345059
             258         -6.4713        -6.64355       0.0343787
             259        -6.47204        -6.64288       0.0342524
             260        -6.47313        -6.64223       0.0341268
             261        -6.47459        -6.64159       0.0340021
             262         -6.4764        -6.64096       0.0338782
             263        -6.47825        -6.64034        0.033755
             264        -6.48014        -6.63973       0.0336326
             265        -6.48174        -6.63914        0.033511
             266        -6.48371        -6.63855       0.0333901
             267        -6.48538        -6.63798         0.03327
             268         -6.4871        -6.63742       0.0331506
             269        -6.48853        -6.63686        0.033032
             270        -6.48999        -6.63632       0.0329141
             271        -6.49215        -6.63579        0.032797
             272        -6.49401        -6.63526       0.0326805
             273        -6.49592        -6.63475       0.0325648
             274        -6.49754        -6.63425       0.0324498
             275        -6.49984        -6.63376       0.0323355
             276        -6.50186        -6.63329       0.0322219
             277        -6.50424        -6.63282       0.0321089
             278        -6.50666        -6.63237       0.0319966
             279        -6.50944        -6.63193        0.031885
             280        -6.51161         -6.6315        0.031774
             281        -6.51381        -6.63108       0.0316637
             282        -6.51541        -6.63067        0.031554
             283        -6.51768        -6.63027       0.0314451
             284        -6.51966        -6.62988       0.0313368
             285        -6.52232         -6.6295       0.0312291
             286        -6.52436        -6.62913        0.031122
             287         -6.5274        -6.62878       0.0310156
             288        -6.53015        -6.62844       0.0309098
             289        -6.53325        -6.62811       0.0308046
             290        -6.53638        -6.62779          0.0307
             291        -6.53889        -6.62749        0.030596
             292        -6.54174        -6.62719       0.0304927
             293        -6.54332        -6.62691       0.0303899
             294         -6.5459        -6.62663       0.0302878
             295        -6.54849        -6.62637       0.0301863
             296        -6.55078        -6.62611       0.0300854
             297        -6.55341        -6.62587       0.0299851
             298        -6.55541        -6.62563       0.0298854
             299        -6.55806         -6.6254       0.0297863
             300        -6.56073        -6.62519       0.0296878
             301        -6.56276        -6.62498       0.0295899
             302        -6.56545        -6.62478       0.0294926
             303        -6.56814         -6.6246       0.0293958
             304        -6.57052        -6.62442       0.0292997
             305        -6.57322        -6.62425       0.0292041
             306         -6.5756        -6.62409       0.0291091
             307        -6.57798        -6.62394       0.0290147
             308        -6.58069         -6.6238       0.0289208
             309        -6.58307        -6.62367       0.0288275
             310        -6.58609        -6.62355       0.0287348
             311         -6.5891        -6.62344       0.0286426
             312        -6.59178        -6.62334        0.028551
             313        -6.59413        -6.62324       0.0284599
             314        -6.59711        -6.62316       0.0283694
             315        -6.59911        -6.62308       0.0282794
             316        -6.60175        -6.62302         0.02819
             317        -6.60372        -6.62295       0.0281012
             318        -6.60632         -6.6229       0.0280128
             319        -6.60857        -6.62286       0.0279251
             320        -6.61113        -6.62282       0.0278378
             321        -6.61335        -6.62279       0.0277511
             322        -6.61586        -6.62277       0.0276649
             323        -6.61932        -6.62276       0.0275793
             324        -6.62114        -6.62275       0.0274942
             325        -6.62357        -6.62276       0.0274096
             326        -6.62662        -6.62277       0.0273255
             327        -6.62932        -6.62279       0.0272419
             328        -6.63166        -6.62282       0.0271589
             329        -6.63429        -6.62285       0.0270764
             330        -6.63592        -6.62289       0.0269943
