#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             139      0.05198519      0.05197545    3.725071e-07
             140       0.0519854      0.05197552    3.765784e-07
             141      0.05198562      0.05197559    3.806664e-07
             142      0.05198584      0.05197566    3.847709e-07
             143      0.05198606      0.05197573    3.888918e-07
             144      0.05198628      0.05197581    3.930291e-07
             145       0.0519865      0.05197588    3.971826e-07
             146      0.05198673      0.05197595    4.013494e-07
             147      0.05198695      0.05197603    4.055326e-07
             148      0.05198718       0.0519761     4.09732e-07
             149      0.05198741      0.05197618     4.13945e-07
             150      0.05198764      0.05197626    4.181716e-07
             151      0.05198787      0.05197633    4.224147e-07
             152       0.0519881      0.05197641    4.266717e-07
             153      0.05198834      0.05197649    4.309454e-07
             154      0.05198858      0.05197657    4.352356e-07
             155      0.05198882      0.05197665    4.395424e-07
             156      0.05198906      0.05197673    4.438655e-07
             157       0.0519893      0.05197681    4.482024e-07
             158      0.05198954      0.05197689    4.525557e-07
             159      0.05198978      0.05197697    4.569204e-07
             160      0.05199003      0.05197705    4.613018e-07
             161      0.05199028      0.05197713    4.656998e-07
             162      0.05199053      0.05197721    4.701144e-07
             163      0.05199079       0.0519773    4.745454e-07
             164      0.05199104      0.05197738    4.789927e-07
             165       0.0519913      0.05197747    4.834563e-07
             166      0.05199155      0.05197755     4.87936e-07
             167      0.05199181      0.05197764    4.924317e-07
             168      0.05199207      0.05197772    4.969434e-07
             169      0.05199234      0.05197781    5.014709e-07
             170       0.0519926       0.0519779    5.060121e-07
             171      0.05199286      0.05197798     5.10569e-07
             172      0.05199313      0.05197807    5.151418e-07
             173       0.0519934      0.05197816    5.197281e-07
             174      0.05199367      0.05197825    5.243261e-07
             175      0.05199394      0.05197834    5.289379e-07
             176      0.05199421      0.05197843     5.33564e-07
             177      0.05199449      0.05197852    5.382064e-07
             178      0.05199476      0.05197861    5.428652e-07
             179      0.05199504       0.0519787    5.475402e-07
             180      0.05199533      0.05197879    5.522313e-07
             181      0.05199561      0.05197889    5.569385e-07
             182      0.05199589      0.05197898    5.616576e-07
             183      0.05199617      0.05197907    5.663889e-07
             184      0.05199646      0.05197917    5.711366e-07
             185      0.05199675      0.05197926    5.758988e-07
             186      0.05199704      0.05197936    5.806754e-07
             187      0.05199733      0.05197946    5.854686e-07
             188      0.05199763      0.05197955    5.902782e-07
             189      0.05199792      0.05197965    5.951042e-07
             190      0.05199822      0.05197975    5.999446e-07
             191      0.05199852      0.05197985    6.048013e-07
             192      0.05199882      0.05197994    6.096723e-07
             193      0.05199912      0.05198004    6.145596e-07
             194      0.05199943      0.05198014    6.194631e-07
             195      0.05199974      0.05198024    6.243809e-07
             196      0.05200004      0.05198035     6.29313e-07
             197      0.05200035      0.05198045    6.342613e-07
             198      0.05200067      0.05198055    6.392258e-07
             199      0.05200098      0.05198065    6.442063e-07
             200      0.05200129      0.05198076     6.49201e-07
             201      0.05200161      0.05198086    6.542117e-07
             202      0.05200193      0.05198096    6.592367e-07
             203      0.05200225      0.05198107    6.642776e-07
             204      0.05200257      0.05198117    6.693327e-07
             205       0.0520029      0.05198128    6.744037e-07
             206      0.05200322      0.05198139     6.79489e-07
             207      0.05200354      0.05198149    6.845869e-07
             208      0.05200387       0.0519816    6.896992e-07
             209       0.0520042      0.05198171    6.948277e-07
             210      0.05200454      0.05198182    6.999722e-07
             211      0.05200487      0.05198193    7.051328e-07
             212      0.05200521      0.05198204    7.103094e-07
             213      0.05200555      0.05198215    7.155018e-07
             214      0.05200589      0.05198226    7.207099e-07
             215      0.05200623      0.05198237    7.259322e-07
             216      0.05200657      0.05198248    7.311656e-07
             217      0.05200691      0.05198259    7.364149e-07
             218      0.05200726      0.05198271    7.416786e-07
             219      0.05200761      0.05198282    7.469569e-07
             220      0.05200796      0.05198294    7.522511e-07
             221      0.05200831      0.05198305    7.575598e-07
             222      0.05200866      0.05198317     7.62883e-07
             223      0.05200902      0.05198328    7.682193e-07
             224      0.05200936       0.0519834    7.735643e-07
             225      0.05200973      0.05198351    7.789259e-07
             226      0.05201009      0.05198363    7.843026e-07
             227      0.05201045      0.05198375    7.896944e-07
             228      0.05201081      0.05198387    7.951015e-07
             229      0.05201118      0.05198399    8.005251e-07
             230      0.05201155      0.05198411    8.059624e-07
             231      0.05201192      0.05198423    8.114136e-07
             232      0.05201229      0.05198435    8.168814e-07
             233      0.05201266      0.05198447    8.223646e-07
             234      0.05201304      0.05198459    8.278617e-07
             235      0.05201342      0.05198472    8.333755e-07
             236       0.0520138      0.05198484    8.389061e-07
             237      0.05201418      0.05198496    8.444506e-07
             238      0.05201456      0.05198509    8.500117e-07
             239      0.05201494      0.05198521    8.555855e-07
             240      0.05201533      0.05198534     8.61176e-07
             241      0.05201572      0.05198546     8.66782e-07
             242      0.05201611      0.05198559    8.724046e-07
             243      0.05201651      0.05198572     8.78044e-07
             244      0.05201691      0.05198585    8.836999e-07
             245       0.0520173      0.05198597     8.89371e-07
             246      0.05201769       0.0519861    8.950548e-07
             247       0.0520181      0.05198623    9.007551e-07
             248       0.0520185      0.05198636     9.06472e-07
             249       0.0520189      0.05198649    9.122042e-07
             250      0.05201931      0.05198662    9.179529e-07
             251      0.05201972      0.05198676    9.237156e-07
             252      0.05202013      0.05198689    9.294948e-07
             253      0.05202054      0.05198702    9.352879e-07
             254      0.05202095      0.05198716    9.410951e-07
             255      0.05202136      0.05198729    9.469176e-07
             256      0.05202178      0.05198742    9.527568e-07
