#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             163       0.6768681        1.052909      0.03362707
             164       0.6807973         1.05064      0.03349849
             165       0.6847242        1.048422       0.0333688
             166       0.6886176        1.046255       0.0332381
             167       0.6924919        1.044137      0.03310651
             168       0.6963297        1.042066      0.03297411
             169       0.7001333        1.040043      0.03284101
             170       0.7038915        1.038066      0.03270731
             171       0.7076139        1.036133      0.03257307
             172       0.7112837        1.034245       0.0324384
             173       0.7149172        1.032399      0.03230337
             174       0.7184919        1.030595      0.03216806
             175        0.722011        1.028831      0.03203253
             176        0.725472        1.027108      0.03189687
             177       0.7288721        1.025423      0.03176113
             178       0.7322158        1.023775      0.03162539
             179        0.735488        1.022165      0.03148969
             180       0.7386934         1.02059       0.0313541
             181       0.7418303         1.01905      0.03121868
             182       0.7448972        1.017544      0.03108347
             183       0.7478929         1.01607      0.03094852
             184       0.7508167        1.014629      0.03081388
             185       0.7536613        1.013218      0.03067959
             186       0.7564324        1.011837      0.03054569
             187       0.7591298        1.010486      0.03041222
             188         0.76176        1.009163      0.03027922
             189       0.7643161        1.007867      0.03014671
             190       0.7667974        1.006599      0.03001473
             191       0.7692042        1.005356      0.02988331
             192       0.7715436        1.004138      0.02975247
             193       0.7738098        1.002945      0.02962224
             194       0.7759968        1.001775      0.02949264
             195       0.7781051        1.000628      0.02936369
             196       0.7801551       0.9995029      0.02923541
             197       0.7821288       0.9983995      0.02910782
             198       0.7840333       0.9973168      0.02898094
             199       0.7858762       0.9962543      0.02885478
             200       0.7876466       0.9952113      0.02872935
             201       0.7893591       0.9941871      0.02860467
             202       0.7910018       0.9931813      0.02848074
             203       0.7925889       0.9921931      0.02835758
             204       0.7941154       0.9912221      0.02823519
             205       0.7955766       0.9902678      0.02811358
             206       0.7969739       0.9893295      0.02799276
             207        0.798316       0.9884067      0.02787273
             208       0.7996116        0.987499      0.02775351
             209       0.8008494        0.986606      0.02763508
             210       0.8020448       0.9857271      0.02751745
             211       0.8031801       0.9848619      0.02740064
             212       0.8042898       0.9840102      0.02728462
             213       0.8053435       0.9831714      0.02716942
             214       0.8063563       0.9823451      0.02705502
             215       0.8073303       0.9815311      0.02694142
             216       0.8082744        0.980729      0.02682863
             217       0.8091902       0.9799385      0.02671664
             218       0.8100601       0.9791592      0.02660545
             219       0.8109061        0.978391      0.02649506
             220       0.8117306       0.9776334      0.02638545
             221       0.8125165       0.9768863      0.02627664
             222       0.8132853       0.9761493       0.0261686
             223       0.8140382       0.9754224      0.02606135
             224       0.8147574       0.9747051      0.02595487
             225       0.8154649       0.9739974      0.02584917
             226       0.8161557        0.973299      0.02574422
             227        0.816838       0.9726097      0.02564004
             228       0.8174876       0.9719294      0.02553661
             229       0.8181458       0.9712578      0.02543392
             230       0.8187884       0.9705949      0.02533198
             231       0.8194164       0.9699405      0.02523077
             232        0.820038       0.9692943      0.02513029
             233       0.8206744       0.9686565      0.02503052
             234       0.8212885       0.9680267      0.02493148
             235       0.8219079       0.9674049      0.02483314
             236       0.8225204        0.966791       0.0247355
             237       0.8231405       0.9661849      0.02463856
             238       0.8237564       0.9655864       0.0245423
             239       0.8243759       0.9649956      0.02444672
             240       0.8249941       0.9644123      0.02435182
             241       0.8256255       0.9638364      0.02425758
             242       0.8262713       0.9632679      0.02416401
             243       0.8269257       0.9627068      0.02407108
             244       0.8275839       0.9621531       0.0239788
             245       0.8282604       0.9616066      0.02388715
             246       0.8289485       0.9610673      0.02379613
             247       0.8296425       0.9605352      0.02370574
             248       0.8303631       0.9600103      0.02361596
             249       0.8310858       0.9594926       0.0235268
             250       0.8318246       0.9589819      0.02343823
             251        0.832593       0.9584784      0.02335026
             252       0.8333786       0.9579819      0.02326288
             253       0.8341756       0.9574926      0.02317607
             254        0.834978       0.9570102      0.02308985
             255       0.8357998       0.9565349      0.02300419
             256       0.8366552       0.9560666       0.0229191
             257       0.8375184       0.9556053      0.02283456
             258       0.8384158       0.9551511      0.02275057
             259       0.8393481        0.954704      0.02266712
             260       0.8402965        0.954264      0.02258421
             261       0.8412614        0.953831      0.02250183
             262       0.8422429       0.9534051      0.02241998
             263       0.8432491       0.9529863      0.02233864
             264       0.8442807       0.9525745      0.02225782
             265       0.8453444       0.9521699      0.02217751
             266       0.8464275       0.9517723       0.0220977
             267       0.8475427        0.951382      0.02201838
             268       0.8486832       0.9509987      0.02193956
             269       0.8498555       0.9506227      0.02186122
             270       0.8510536        0.950254      0.02178336
             271       0.8522647       0.9498924      0.02170598
             272       0.8535085        0.949538      0.02162907
             273       0.8547786       0.9491909      0.02155263
             274       0.8560813       0.9488511      0.02147665
             275       0.8573965       0.9485186      0.02140113
             276       0.8587441       0.9481933      0.02132606
             277       0.8601114       0.9478753      0.02125144
             278       0.8615049       0.9475646      0.02117727
             279       0.8629174       0.9472612      0.02110354
             280       0.8643683       0.9469652      0.02103024
             281       0.8658438       0.9466765      0.02095738
             282       0.8673562       0.9463952      0.02088496
             283       0.8688789       0.9461213      0.02081295
             284       0.8704311       0.9458548      0.02074137
             285       0.8719921       0.9455956      0.02067022
             286       0.8735876       0.9453438      0.02059948
             287       0.8751844       0.9450994      0.02052915
             288        0.876808       0.9448623      0.02045924
             289       0.8784453       0.9446324      0.02038974
             290        0.880102       0.9444099      0.02032064
             291       0.8817907       0.9441947      0.02025195
             292       0.8834902       0.9439868      0.02018366
             293       0.8852315       0.9437863      0.02011577
             294       0.8869689       0.9435931      0.02004828
             295       0.8887203       0.9434071      0.01998118
             296       0.8904919       0.9432283      0.01991448
             297       0.8922699       0.9430567      0.01984816
             298       0.8940718       0.9428923      0.01978224
             299       0.8958705       0.9427351       0.0197167
             300       0.8976782       0.9425849      0.01965155
             301       0.8995065       0.9424418      0.01958679
             302        0.901329       0.9423056       0.0195224
             303       0.9031578       0.9421764       0.0194584
             304        0.904998       0.9420541      0.01939478
             305       0.9068346       0.9419386      0.01933153
             306       0.9086795         0.94183      0.01926866
             307       0.9105256        0.941728      0.01920617
             308       0.9123659       0.9416327      0.01914405
             309       0.9142123       0.9415439       0.0190823
             310       0.9160435       0.9414617      0.01902092
             311       0.9178711       0.9413858      0.01895991
             312       0.9197003       0.9413163      0.01889927
             313       0.9215303       0.9412531      0.01883899
             314       0.9233407        0.941196      0.01877908
             315       0.9251629       0.9411451      0.01871953
             316       0.9269632       0.9411003      0.01866035
             317       0.9287667       0.9410614      0.01860152
             318       0.9305459       0.9410283      0.01854306
