#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             165       0.9202685        1.342793      0.01552022
             166       0.9155077        1.340219      0.01563872
             167       0.9108682        1.337648      0.01575499
             168       0.9063613        1.335081      0.01586898
             169       0.9019766        1.332519      0.01598068
             170       0.8977189        1.329961      0.01609004
             171       0.8935991        1.327409      0.01619704
             172       0.8896086        1.324864      0.01630164
             173       0.8857605        1.322326      0.01640382
             174       0.8820568        1.319795      0.01650354
             175       0.8784904        1.317274      0.01660078
             176       0.8750695        1.314761      0.01669551
             177       0.8717936        1.312258      0.01678771
             178       0.8686639        1.309766      0.01687735
             179       0.8656794        1.307285      0.01696443
             180       0.8628396        1.304816      0.01704893
             181       0.8601519        1.302359      0.01713082
             182       0.8576192        1.299916       0.0172101
             183       0.8552349        1.297486      0.01728675
             184       0.8530012         1.29507      0.01736077
             185       0.8509182        1.292669      0.01743214
             186       0.8489899        1.290284      0.01750086
             187       0.8472087        1.287915      0.01756694
             188       0.8455711        1.285562      0.01763036
             189       0.8440849        1.283226      0.01769114
             190        0.842744        1.280908      0.01774928
             191       0.8415488        1.278607      0.01780479
             192       0.8404952        1.276325      0.01785768
             193       0.8395761        1.274062      0.01790796
             194       0.8387953        1.271819      0.01795565
             195       0.8381478        1.269595      0.01800077
             196       0.8376299        1.267391      0.01804334
             197       0.8372403        1.265207      0.01808339
             198       0.8369731        1.263045      0.01812093
             199       0.8368174        1.260903      0.01815601
             200       0.8367803        1.258782      0.01818865
             201       0.8368504        1.256683      0.01821889
             202       0.8370274        1.254606      0.01824676
             203        0.837302         1.25255      0.01827231
             204       0.8376714        1.250516      0.01829556
             205       0.8381351        1.248505      0.01831657
             206       0.8386815        1.246515      0.01833538
             207       0.8393054        1.244548      0.01835203
             208       0.8400031        1.242603      0.01836657
             209       0.8407741         1.24068      0.01837905
             210       0.8416086         1.23878      0.01838951
             211       0.8424968        1.236902      0.01839801
             212       0.8434404        1.235046       0.0184046
             213       0.8444272        1.233212      0.01840934
             214       0.8454654          1.2314      0.01841226
             215       0.8465345         1.22961      0.01841343
             216       0.8476382        1.227842      0.01841291
             217       0.8487673        1.226095      0.01841074
             218       0.8499216        1.224369      0.01840697
             219       0.8510922        1.222665      0.01840167
             220       0.8522748        1.220981      0.01839488
             221       0.8534676        1.219318      0.01838666
             222        0.854671        1.217676      0.01837706
             223       0.8558773        1.216053      0.01836613
             224       0.8570807        1.214451      0.01835392
             225       0.8582824        1.212868      0.01834048
             226       0.8594745        1.211304      0.01832587
             227       0.8606586        1.209759      0.01831012
             228       0.8618301        1.208233      0.01829329
             229       0.8629868        1.206726      0.01827543
             230       0.8641286        1.205236      0.01825657
             231       0.8652511        1.203764      0.01823677
             232       0.8663508         1.20231      0.01821606
             233       0.8674235        1.200873       0.0181945
             234        0.868477        1.199452      0.01817211
             235       0.8695018        1.198048      0.01814894
             236       0.8705077         1.19666      0.01812503
             237       0.8714783        1.195288      0.01810041
             238       0.8724284        1.193932      0.01807512
             239       0.8733529         1.19259      0.01804919
             240       0.8742494        1.191264      0.01802266
             241       0.8751161        1.189952      0.01799556
             242        0.875953        1.188655      0.01796791
             243       0.8767684        1.187371      0.01793975
             244       0.8775518        1.186101      0.01791111
             245       0.8783056        1.184845      0.01788201
             246       0.8790389        1.183602      0.01785247
             247       0.8797348        1.182372      0.01782253
             248       0.8804099        1.181154      0.01779221
             249       0.8810607        1.179949      0.01776153
             250       0.8816878        1.178756       0.0177305
             251       0.8822918        1.177575      0.01769916
             252       0.8828734        1.176405      0.01766752
             253       0.8834338        1.175247       0.0176356
             254       0.8839806        1.174101      0.01760341
             255        0.884508        1.172965      0.01757097
             256       0.8850082         1.17184       0.0175383
             257       0.8854957        1.170726      0.01750541
             258       0.8859713        1.169622      0.01747232
             259       0.8864318        1.168529      0.01743904
             260       0.8868695        1.167446      0.01740558
             261       0.8872987        1.166372      0.01737195
             262       0.8877158        1.165309      0.01733818
