#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
             129      -0.0322413      -0.0319709     1.05463e-05
             130      -0.0322475       -0.031973     1.06777e-05
             131      -0.0322537      -0.0319751     1.08091e-05
             132      -0.0322624      -0.0319773      1.0944e-05
             133      -0.0322687      -0.0319795     1.10789e-05
             134      -0.0322751      -0.0319817     1.12137e-05
             135      -0.0322839      -0.0319839     1.13518e-05
             136      -0.0322904      -0.0319862     1.14898e-05
             137      -0.0322969      -0.0319885     1.16277e-05
             138      -0.0323035      -0.0319908     1.17654e-05
             139      -0.0323101      -0.0319931      1.1903e-05
             140      -0.0323168      -0.0319954     1.20406e-05
             141      -0.0323236      -0.0319977     1.21781e-05
             142      -0.0323303          -0.032     1.23156e-05
             143      -0.0323372      -0.0320024     1.24531e-05
             144      -0.0323441      -0.0320048     1.25906e-05
             145       -0.032351      -0.0320072     1.27282e-05
             146      -0.0323603      -0.0320096     1.28688e-05
             147      -0.0323674       -0.032012     1.30094e-05
             148      -0.0323744      -0.0320145       1.315e-05
             149      -0.0323839      -0.0320169     1.32935e-05
             150      -0.0323935      -0.0320194     1.34398e-05
             151      -0.0324007       -0.032022     1.35859e-05
             152      -0.0324104      -0.0320245     1.37348e-05
             153      -0.0324177      -0.0320271     1.38834e-05
             154      -0.0324251      -0.0320297     1.40318e-05
             155      -0.0324326      -0.0320323       1.418e-05
             156      -0.0324401      -0.0320349      1.4328e-05
             157        -0.03245      -0.0320375     1.44786e-05
             158      -0.0324576      -0.0320402      1.4629e-05
             159        -0.03247      -0.0320429     1.47846e-05
             160      -0.0324777      -0.0320456     1.49398e-05
             161      -0.0324854      -0.0320483     1.50947e-05
             162      -0.0324932      -0.0320511     1.52493e-05
             163      -0.0325011      -0.0320539     1.54036e-05
             164       -0.032509      -0.0320566     1.55577e-05
             165      -0.0325169      -0.0320594     1.57115e-05
             166      -0.0325249      -0.0320622     1.58652e-05
             167       -0.032533       -0.032065     1.60186e-05
             168      -0.0325411      -0.0320679      1.6172e-05
             169      -0.0325493      -0.0320707     1.63252e-05
             170      -0.0325598      -0.0320736     1.64808e-05
             171      -0.0325681      -0.0320765     1.66362e-05
             172      -0.0325764      -0.0320794     1.67914e-05
             173      -0.0325871      -0.0320823     1.69489e-05
             174      -0.0326003      -0.0320853     1.71109e-05
             175      -0.0326111      -0.0320883     1.72749e-05
             176       -0.032622      -0.0320913     1.74409e-05
             177      -0.0326306      -0.0320944     1.76065e-05
             178      -0.0326393      -0.0320975     1.77717e-05
             179      -0.0326479      -0.0321005     1.79365e-05
             180      -0.0326567      -0.0321036      1.8101e-05
             181      -0.0326655      -0.0321067     1.82653e-05
             182      -0.0326791      -0.0321099     1.84336e-05
             183      -0.0326927      -0.0321131      1.8606e-05
             184      -0.0327017      -0.0321163     1.87778e-05
             185       -0.032713      -0.0321195     1.89514e-05
             186      -0.0327245      -0.0321227     1.91266e-05
             187      -0.0327336       -0.032126     1.93013e-05
             188      -0.0327428      -0.0321293     1.94754e-05
             189       -0.032752      -0.0321326     1.96491e-05
             190      -0.0327636      -0.0321359     1.98244e-05
             191      -0.0327729      -0.0321392     1.99992e-05
             192      -0.0327847      -0.0321426     2.01756e-05
             193      -0.0327941       -0.032146     2.03515e-05
             194      -0.0328036      -0.0321494      2.0527e-05
             195      -0.0328155      -0.0321528     2.07041e-05
             196      -0.0328275      -0.0321562     2.08827e-05
             197      -0.0328371      -0.0321597     2.10608e-05
             198      -0.0328468      -0.0321631     2.12384e-05
             199      -0.0328566      -0.0321666     2.14157e-05
             200      -0.0328688      -0.0321701     2.15944e-05
             201      -0.0328786      -0.0321737     2.17728e-05
             202      -0.0328909      -0.0321772     2.19526e-05
             203      -0.0329009      -0.0321808      2.2132e-05
             204      -0.0329133      -0.0321844     2.23129e-05
             205      -0.0329234       -0.032188     2.24934e-05
             206      -0.0329359      -0.0321916     2.26753e-05
             207      -0.0329508      -0.0321953     2.28604e-05
             208      -0.0329634       -0.032199     2.30468e-05
             209      -0.0329737      -0.0322027     2.32328e-05
             210       -0.032984      -0.0322064     2.34182e-05
             211      -0.0329945      -0.0322101     2.36031e-05
             212      -0.0330049      -0.0322139     2.37877e-05
             213      -0.0330154      -0.0322176     2.39718e-05
             214       -0.033026      -0.0322214     2.41556e-05
             215       -0.033039      -0.0322252     2.43407e-05
             216      -0.0330568      -0.0322291     2.45305e-05
             217      -0.0330675      -0.0322329     2.47199e-05
             218      -0.0330807      -0.0322368     2.49105e-05
             219      -0.0330939      -0.0322407     2.51023e-05
             220      -0.0331048      -0.0322447     2.52936e-05
             221      -0.0331181      -0.0322486      2.5486e-05
             222      -0.0331315      -0.0322526     2.56796e-05
             223      -0.0331473      -0.0322566      2.5876e-05
             224      -0.0331703      -0.0322607       2.608e-05
             225      -0.0331815      -0.0322648     2.62833e-05
             226      -0.0331951      -0.0322689     2.64874e-05
             227      -0.0332088       -0.032273     2.66924e-05
             228      -0.0332226      -0.0322772     2.68982e-05
             229       -0.033234      -0.0322814     2.71033e-05
             230      -0.0332502      -0.0322856     2.73108e-05
             231      -0.0332665      -0.0322898     2.75207e-05
             232      -0.0332781      -0.0322941     2.77298e-05
             233      -0.0332921      -0.0322984     2.79397e-05
             234      -0.0333086      -0.0323027     2.81518e-05
             235      -0.0333204       -0.032307     2.83632e-05
             236      -0.0333322      -0.0323114     2.85737e-05
             237      -0.0333488      -0.0323157     2.87865e-05
             238      -0.0333608      -0.0323201     2.89985e-05
             239      -0.0333799      -0.0323246     2.92142e-05
             240       -0.033392       -0.032329      2.9429e-05
             241      -0.0334064      -0.0323335     2.96445e-05
             242      -0.0334186       -0.032338     2.98592e-05
             243      -0.0334309      -0.0323425     3.00732e-05
             244      -0.0334431       -0.032347     3.02863e-05
             245      -0.0334579      -0.0323515     3.05002e-05
             246      -0.0334774      -0.0323561     3.07177e-05
             247      -0.0334898      -0.0323607     3.09344e-05
             248      -0.0335024      -0.0323653     3.11503e-05
             249      -0.0335173      -0.0323699     3.13669e-05
             250        -0.03353      -0.0323746     3.15828e-05
             251      -0.0335474      -0.0323792     3.18007e-05
             252      -0.0335601      -0.0323839      3.2018e-05
             253      -0.0335777      -0.0323886     3.22372e-05
             254      -0.0335953      -0.0323934     3.24584e-05
             255      -0.0336106      -0.0323982     3.26803e-05
             256      -0.0336236      -0.0324029     3.29013e-05
             257      -0.0336414      -0.0324078     3.31243e-05
             258      -0.0336569      -0.0324126     3.33479e-05
             259        -0.03367      -0.0324175     3.35707e-05
             260      -0.0336833      -0.0324223     3.37927e-05
             261      -0.0336989      -0.0324272     3.40154e-05
             262      -0.0337123      -0.0324321     3.42374e-05
             263       -0.033728      -0.0324371     3.44599e-05
             264      -0.0337415       -0.032442     3.46818e-05
             265      -0.0337598       -0.032447     3.49056e-05
             266      -0.0337781       -0.032452     3.51313e-05
             267      -0.0337917       -0.032457     3.53562e-05
             268      -0.0338102       -0.032462      3.5583e-05
             269       -0.033831      -0.0324671     3.58128e-05
             270      -0.0338472      -0.0324722     3.60431e-05
             271      -0.0338611      -0.0324774     3.62727e-05
             272      -0.0338798      -0.0324825     3.65039e-05
             273      -0.0338938      -0.0324877     3.67345e-05
             274      -0.0339079      -0.0324929     3.69642e-05
             275      -0.0339244      -0.0324981     3.71946e-05
             276      -0.0339386      -0.0325033     3.74242e-05
             277      -0.0339528      -0.0325085     3.76532e-05
             278      -0.0339671      -0.0325138     3.78815e-05
             279      -0.0339815       -0.032519     3.81092e-05
             280      -0.0339983      -0.0325243     3.83376e-05
             281      -0.0340151      -0.0325296     3.85665e-05
             282       -0.034032       -0.032535     3.87959e-05
             283      -0.0340466      -0.0325403     3.90249e-05
             284      -0.0340613      -0.0325456     3.92532e-05
             285      -0.0340807       -0.032551     3.94833e-05
             286      -0.0340955      -0.0325564     3.97129e-05
             287      -0.0341104      -0.0325618     3.99419e-05
             288      -0.0341253      -0.0325673     4.01704e-05
             289      -0.0341426      -0.0325727     4.03995e-05
             290        -0.03416      -0.0325782     4.06293e-05
             291      -0.0341775      -0.0325837     4.08597e-05
             292       -0.034195      -0.0325892     4.10907e-05
             293      -0.0342102      -0.0325947     4.13212e-05
             294      -0.0342302      -0.0326003     4.15534e-05
             295      -0.0342455      -0.0326059     4.17851e-05
             296       -0.034268      -0.0326115     4.20196e-05
             297      -0.0342906      -0.0326172     4.22567e-05
             298      -0.0343085      -0.0326228     4.24944e-05
             299      -0.0343265      -0.0326285     4.27325e-05
             300      -0.0343469      -0.0326343     4.29722e-05
             301      -0.0343673        -0.03264     4.32135e-05
             302      -0.0343855      -0.0326458     4.34552e-05
             303      -0.0344013      -0.0326516     4.36963e-05
             304      -0.0344196      -0.0326574     4.39379e-05
             305      -0.0344403      -0.0326633      4.4181e-05
             306      -0.0344564      -0.0326691     4.44235e-05
             307      -0.0344749       -0.032675     4.46665e-05
             308       -0.034491      -0.0326809      4.4909e-05
             309      -0.0345072      -0.0326868     4.51509e-05
