#     TEMP:       M_AVE:      ERROR:
	2.0		1.35955  	0.00449881
	1.7		1.8974  	0.00591371
	1.5		2.52882   	0.0103252
	1.2		4.42901   	0.0252992
	1.0		7.47708   	0.0485087
	0.7		24.4878    	0.346325
	0.5		79.0266    	0.819685
           

