#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     66.4958     66.4958           0
           2     70.8315     68.6637      1.5329
           3     71.7955     69.7076     1.33075
           4     77.0379     71.5402     1.87479
           5     68.7043      70.973     1.58331
           6     75.5116     71.7294     1.48919
           7     79.3049     72.8117     1.62272
           8      84.266     74.2434     1.95187
           9     75.4906      74.382     1.73991
          10      80.496     74.9934     1.66989
          11     77.4836     75.2198     1.53335
          12     77.3497     75.3973     1.41581
          13     79.9501     75.7475     1.34952
          14     76.0491      75.769      1.2533
          15     79.4433      76.014     1.19344
          16     77.1475     76.0848     1.12095
          17     83.1381     76.4997     1.12919
          18      79.407     76.6612     1.07794
          19     73.4497     76.4922     1.03438
          20     79.7875      76.657    0.995695
