#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35055     1.35055           0
           2     1.34407     1.34731  0.00229032
           3     1.34706     1.34723  0.00152848
           4     1.33416     1.34396  0.00305179
           5     1.32742     1.34065  0.00383675
           6     1.34271     1.34099  0.00321253
           7     1.34186     1.34112  0.00275599
           8     1.34047     1.34104  0.00241268
           9     1.37429     1.34473   0.0040908
          10     1.34545      1.3448  0.00368235
          11     1.37218     1.34729  0.00410316
          12     1.37722     1.34979  0.00445513
          13     1.31786     1.34733  0.00474134
          14     1.34749     1.34734  0.00440269
          15     1.33988     1.34684  0.00413722
          16     1.36367      1.3479  0.00401003
          17     1.35911     1.34856  0.00382802
          18     1.38665     1.35067  0.00415939
          19      1.3298     1.34957  0.00408298
          20      1.3477     1.34948  0.00387991
