#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.4198845       0.4198845               0
               2       0.4216714       0.4207779    0.0006317699
               3       0.4176319       0.4197293    0.0009542197
               4       0.4241753       0.4208408     0.001199491
               5       0.4179358       0.4202598     0.001091263
               6       0.4207386       0.4203396    0.0009122988
               7       0.4144574       0.4194993     0.001103052
               8       0.4117288        0.418528     0.001325541
               9       0.4324319       0.4200729     0.001873437
              10       0.4099658       0.4190621      0.00193966
              11       0.4218536       0.4193159      0.00177985
              12       0.4280547       0.4200441     0.001774266
              13       0.4066344       0.4190126     0.001914292
              14       0.4265768       0.4195529     0.001852235
              15       0.4219998       0.4197161     0.001735921
              16       0.4139913       0.4193583     0.001663891
              17       0.4247365       0.4196746     0.001595809
              18       0.4303234       0.4202662      0.00161309
              19         0.41747       0.4201191     0.001534889
              20       0.4317989        0.420703     0.001565305
