#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.88214     1.88214           0
           2     1.88876     1.88545  0.00233928
           3     1.89006     1.88698  0.00200148
           4     1.88623      1.8868  0.00150994
           5     1.92737     1.89491  0.00735878
           6     1.83185      1.8844   0.0113868
           7     1.86023     1.88095   0.0102705
           8     1.88188     1.88106  0.00898738
           9     1.89964     1.88313   0.0082223
          10     1.88418     1.88323  0.00740075
          11     1.91445     1.88607  0.00725157
          12     1.89064     1.88645  0.00665725
          13     1.90835     1.88814  0.00635466
          14     1.93407     1.89142  0.00669434
          15     1.89834     1.89188  0.00626392
          16     1.90504      1.8927  0.00592619
          17     1.87435     1.89162  0.00567502
          18     1.92023     1.89321  0.00557784
          19     1.95447     1.89644  0.00614594
          20     1.91571      1.8974  0.00591371
