#     TEMP:       M_AVE:      ERROR:
	2.0		0.0275325  	0.00112165
	1.7		0.0395153  	0.0010996
	1.5		0.051641  	0.00126102
	1.2		0.0902749  	0.0025035
	1.0		0.146626  	0.00410993
	0.7		0.444859  	0.00759338
	0.5		0.901784   	0.0121216
           

