#     TEMP:       M_AVE:      ERROR:
	2.0		0.196319    	0.0002055807
	1.7		0.2491581    	0.0002583024
	1.5		0.2933468    	0.0003515229
	1.2		0.37108    	0.0005226202
	1.0		0.4195467    	0.0007539671
	0.7		0.4289815     	0.001867516
	0.5		0.3275333     	0.003771343
           

