#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.87814     1.87814           0
           2     1.91251     1.89532   0.0121498
           3     1.87742     1.88936  0.00945239
           4     1.90205     1.89253   0.0076037
           5     1.89744     1.89351  0.00614597
           6     1.86572     1.88888  0.00664182
           7     1.94568     1.89699  0.00942585
           8     1.87012     1.89364  0.00882584
           9     1.93592     1.89833  0.00900912
          10      1.8974     1.89824  0.00810869
          11     1.84806     1.89368  0.00855903
          12     1.90371     1.89451   0.0078865
          13     1.82277       1.889  0.00900595
          14     1.86487     1.88727    0.008526
          15     1.86321     1.88567  0.00810709
          16      1.8752     1.88501  0.00762676
          17      1.8773     1.88456  0.00719161
          18     1.93694     1.88747  0.00735733
          19     1.83454     1.88468  0.00747891
          20     1.89054     1.88498   0.0071107
