#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.2935796       0.2935796               0
               2       0.2934791       0.2935294    3.553271e-05
               3       0.2969628       0.2946738    0.0009347747
               4       0.2908127       0.2937086     0.001091036
               5       0.2927374       0.2935143    0.0008899495
               6       0.2909257       0.2930829    0.0008397127
               7       0.2938772       0.2931964    0.0007273801
               8       0.2983571       0.2938415    0.0008770419
               9       0.3001261       0.2945398     0.001020395
              10       0.2948613       0.2945719    0.0009188622
              11       0.2942611       0.2945436    0.0008357635
              12       0.2918899       0.2943225    0.0007948358
              13       0.2922905       0.2941662    0.0007489062
              14       0.2936176        0.294127    0.0006964375
              15       0.2908688       0.2939098    0.0006830434
              16       0.2980323       0.2941674     0.000687233
              17       0.2946543       0.2941961    0.0006474041
              18       0.2936163       0.2941639    0.0006122378
              19       0.2873525       0.2938054    0.0006768822
              20       0.2879401       0.2935121    0.0007037058
              21       0.2992373       0.2937847    0.0007210742
              22       0.2927103       0.2937359    0.0006899502
              23       0.2955648       0.2938154    0.0006645186
              24        0.285852       0.2934836    0.0007148874
              25       0.2936513       0.2934903    0.0006863234
              26       0.2994218       0.2937185    0.0006968109
              27       0.2930579        0.293694    0.0006714324
              28       0.2971432       0.2938172    0.0006586561
              29       0.2913067       0.2937306    0.0006416073
              30       0.2930212        0.293707     0.000620656
              31       0.2911195       0.2936235     0.000606221
              32       0.2943523       0.2936463    0.0005877043
              33       0.2906589       0.2935557    0.0005768252
              34        0.295587       0.2936155    0.0005629452
              35       0.2906488       0.2935307    0.0005532055
              36       0.2926914       0.2935074    0.0005383298
              37       0.2924917         0.29348    0.0005244799
              38       0.2899184       0.2933862    0.0005189847
              39       0.2917165       0.2933434    0.0005074402
              40       0.2888802       0.2932318    0.0005068734
              41       0.2953116       0.2932826    0.0004970423
              42       0.2983489       0.2934032    0.0004996309
              43       0.2907127       0.2933406    0.0004919139
              44       0.2933143         0.29334    0.0004807344
              45       0.2937859       0.2933499    0.0004701535
              46       0.2869433       0.2932107     0.000480119
              47       0.2968559       0.2932882    0.0004761267
              48       0.2877141       0.2931721    0.0004801605
              49       0.2926698       0.2931618    0.0004704707
              50       0.2997038       0.2932927    0.0004789093
              51       0.2952444       0.2933309    0.0004710454
              52       0.2955644       0.2933739    0.0004639409
              53       0.2949487       0.2934036    0.0004561378
              54       0.2893114       0.2933278    0.0004539423
              55       0.2946189       0.2933513    0.0004462953
              56       0.2953953       0.2933878    0.0004398158
              57       0.2856587       0.2932522    0.0004525201
              58        0.289464       0.2931869    0.0004494068
              59       0.2932082       0.2931872    0.0004417899
              60       0.2923471       0.2931732    0.0004346486
              61       0.2961686       0.2932224     0.000430288
              62        0.293358       0.2932245    0.0004233534
              63       0.2945381       0.2932454    0.0004171466
              64       0.2891436       0.2931813    0.0004155229
              65       0.2927632       0.2931749      0.00040918
              66       0.2965723       0.2932263    0.0004062054
              67       0.2887796         0.29316    0.0004055285
              68       0.2926043       0.2931518    0.0003996471
              69       0.2978259       0.2932195     0.000399555
              70       0.2949679       0.2932445    0.0003946269
              71       0.2962019       0.2932862    0.0003912609
              72        0.299304       0.2933698    0.0003946529
              73       0.2916285       0.2933459    0.0003899669
              74       0.2933037       0.2933453    0.0003846975
              75       0.2910365       0.2933145    0.0003807979
              76       0.2940724       0.2933245    0.0003759179
              77       0.2977212       0.2933816    0.0003753474
              78       0.2828043        0.293246    0.0003942711
              79       0.2897673        0.293202    0.0003917316
              80       0.2986891       0.2932706    0.0003927938
              81       0.2911461       0.2932443    0.0003888192
              82       0.2953615       0.2932702    0.0003849338
              83       0.2970673       0.2933159    0.0003830049
              84       0.2911608       0.2932903    0.0003793036
              85       0.2944876       0.2933043    0.0003751027
              86         0.29271       0.2932974    0.0003708047
              87       0.2871722        0.293227    0.0003731666
              88       0.2931713       0.2932264    0.0003689266
              89       0.2995221       0.2932971    0.0003715013
              90       0.2946634       0.2933123    0.0003676835
              91       0.2942182       0.2933223    0.0003637778
              92        0.294855       0.2933389     0.000360205
              93       0.2990716       0.2934006    0.0003615676
              94        0.294056       0.2934075    0.0003577884
              95       0.2925476       0.2933985    0.0003541367
              96       0.2863147       0.2933247    0.0003580529
              97       0.2938256       0.2933299    0.0003543988
              98       0.2898092       0.2932939    0.0003525986
              99       0.2921992       0.2932829    0.0003492104
             100       0.2996767       0.2933468    0.0003515229
