#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
           1    0.490084    0.490084           0
           2    0.446186    0.468135   0.0155203
           3     0.50251    0.479593   0.0139494
           4    0.473252    0.478008   0.0105518
           5    0.486726    0.479752  0.00858426
           6    0.477726    0.479414  0.00716019
           7    0.468964    0.477921  0.00629101
           8    0.440842    0.473286  0.00700699
           9      0.4001    0.465154  0.00987787
          10    0.426814     0.46132  0.00960539
          11    0.444176    0.459762  0.00885772
          12     0.41352    0.455908  0.00891849
          13    0.447676    0.455275   0.0082549
          14    0.385686    0.450304  0.00903874
          15    0.383236    0.445833  0.00947775
          16    0.405086    0.443287   0.0092212
          17    0.444974    0.443386  0.00867931
          18    0.454962    0.444029  0.00822092
          19    0.456222    0.444671  0.00781325
          20    0.466386    0.445756  0.00749765
          21    0.461308    0.446497   0.0071771
          22     0.42884    0.445694   0.0068956
          23    0.473788    0.446916   0.0067031
          24    0.438728    0.446575  0.00643248
          25    0.431572    0.445975  0.00620311
          26    0.424168    0.445136  0.00602096
          27    0.383622    0.442858  0.00621407
          28     0.44787    0.443037  0.00599472
          29    0.449836    0.443271  0.00579259
          30    0.413748    0.442287  0.00568248
          31    0.472308    0.443255  0.00558109
          32    0.453364    0.443571  0.00541561
          33    0.409896    0.442551  0.00534678
          34    0.422914    0.441973  0.00522062
          35    0.389508    0.440474  0.00528229
          36     0.52924     0.44294  0.00568197
          37    0.518832    0.444991    0.005887
          38    0.536348    0.447395  0.00620358
          39     0.41108    0.446464    0.006114
          40    0.444636    0.446418  0.00596132
          41    0.400768    0.445305  0.00591899
          42    0.479142    0.446111  0.00583263
          43    0.445754    0.446102  0.00569699
          44    0.505874    0.447461  0.00572719
          45    0.380136    0.445965  0.00579203
          46    0.397302    0.444907  0.00576192
          47     0.43226    0.444638   0.0056456
          48    0.407618    0.443866  0.00558042
          49     0.44704    0.443931  0.00546691
          50    0.445714    0.443967  0.00535769
          51    0.503788     0.44514   0.0053795
          52     0.46715    0.445563  0.00529268
          53    0.455032    0.445742  0.00519583
          54    0.442068    0.445674  0.00510005
          55    0.538556    0.447362  0.00527953
          56    0.451052    0.447428  0.00518566
          57    0.467702    0.447784  0.00510687
          58     0.44585    0.447751  0.00501893
          59    0.440052     0.44762  0.00493556
          60    0.452752    0.447706  0.00485404
          61    0.491566    0.448425  0.00482742
          62    0.471878    0.448803  0.00476436
          63    0.439598    0.448657  0.00469097
          64    0.419756    0.448205  0.00463936
          65     0.48347    0.448748   0.0045996
          66    0.537268    0.450089  0.00472141
          67     0.42803     0.44976   0.0046624
          68    0.446512    0.449712  0.00459408
          69    0.345872    0.448207  0.00476763
          70    0.433668    0.447999  0.00470404
          71    0.483792    0.448504  0.00466472
          72     0.37075    0.447424  0.00472328
          73    0.442232    0.447353  0.00465911
          74    0.506776    0.448156  0.00466484
          75       0.468     0.44842  0.00461014
          76    0.364562    0.447317  0.00467966
          77    0.504846    0.448064  0.00467815
          78    0.428186    0.447809  0.00462511
          79    0.498896    0.448456  0.00461155
          80    0.464138    0.448652  0.00455807
          81     0.43368    0.448467  0.00450555
          82    0.471374    0.448746  0.00445925
          83    0.446434    0.448718  0.00440561
          84    0.387152    0.447985  0.00441371
          85     0.43214    0.447799  0.00436572
          86     0.46835    0.448038  0.00432149
          87    0.405028    0.447544      0.0043
          88    0.473944    0.447844  0.00426159
          89     0.42655    0.447604  0.00422042
          90    0.402448    0.447103  0.00420324
          91     0.47086    0.447364  0.00416515
          92    0.441638    0.447302  0.00412035
          93    0.490346    0.447764  0.00410195
          94    0.429962    0.447575  0.00406269
          95     0.45401    0.447643  0.00402049
          96     0.51908    0.448387  0.00404688
          97    0.438074    0.448281  0.00400656
          98    0.435188    0.448147   0.0039679
          99    0.483024    0.448499  0.00394343
         100    0.474574     0.44876  0.00391261
