#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
               1            0.24            0.24               0
               2            0.28            0.26       0.0141421
               3             0.2            0.24       0.0188562
               4               0            0.18       0.0538516
               5               0           0.144       0.0537848
               6            0.12            0.14       0.0449691
               7            0.08        0.131429       0.0393534
               8            0.12            0.13       0.0344601
               9            0.28        0.146667       0.0344265
              10            0.24           0.156       0.0322242
              11            0.48        0.185455       0.0405818
              12            0.56        0.216667       0.0477164
              13            0.68        0.252308       0.0557908
              14            0.56        0.274286       0.0559675
              15             0.4        0.282667       0.0528601
              16            0.44          0.2925       0.0504627
              17            0.56        0.308235       0.0498873
              18            0.68        0.328889        0.051213
              19            0.56        0.341053       0.0499412
              20            0.52            0.35        0.048239
              21            0.44        0.354286       0.0461319
              22            0.44        0.358182       0.0441992
              23             0.4            0.36       0.0423149
              24            0.56        0.368333       0.0413642
              25            0.52          0.3744        0.040152
              26            0.44        0.376923       0.0386869
              27            0.48        0.380741        0.037442
              28            0.48        0.384286       0.0362722
              29            0.44        0.386207       0.0350723
              30            0.44           0.388        0.033949
              31            0.68        0.397419       0.0341356
              32            0.72          0.4075       0.0345252
              33            0.72         0.41697       0.0347535
              34             0.8        0.428235       0.0355103
              35             0.8        0.438857       0.0360493
              36            0.64        0.444444       0.0354783
              37             0.6        0.448649       0.0347676
              38            0.68        0.454737       0.0343816
              39            0.64        0.459487       0.0338266
              40            0.72           0.466       0.0336021
              41            0.72        0.472195       0.0333487
              42            0.68        0.477143       0.0329197
              43            0.56         0.47907       0.0322105
              44            0.84        0.487273       0.0325061
              45            0.96        0.497778       0.0334382
              46               1        0.508696       0.0344476
              47               1        0.519149       0.0352651
              48            0.88        0.526667       0.0353226
              49            0.88        0.533878       0.0353301
              50            0.88          0.5408       0.0352951
              51            0.88        0.547451       0.0352242
              52            0.88        0.553846       0.0351225
              53            0.88            0.56       0.0349948
              54             0.8        0.564444       0.0346278
              55            0.84        0.569455       0.0343587
              56            0.84        0.574286       0.0340832
              57            0.88        0.579649       0.0339046
              58            0.92        0.585517        0.033824
              59            0.96        0.591864        0.033841
              60            0.92        0.597333        0.033716
              61               1        0.603934       0.0338033
              62               1        0.610323       0.0338563
              63               1        0.616508       0.0338792
              64            0.88        0.620625       0.0335991
              65            0.84           0.624       0.0332513
              66            0.72        0.625455       0.0327793
              67             0.8         0.62806       0.0323934
              68            0.72        0.629412       0.0319452
              69            0.64        0.629565       0.0314826
              70            0.52           0.628       0.0310717
              71             0.6        0.627606       0.0306366
              72             0.6        0.627222       0.0302135
              73            0.68        0.627945       0.0298083
              74             0.8         0.63027        0.029496
              75            0.76           0.632       0.0291534
              76            0.68        0.632632       0.0287766
              77             0.6        0.632208        0.028406
              78            0.56        0.631282       0.0280569
              79            0.52        0.629873       0.0277371
              80             0.6          0.6295       0.0273929
              81            0.52        0.628148       0.0270881
              82            0.64        0.628293       0.0267581
              83            0.84        0.630843        0.026557
              84             0.8        0.632857       0.0263171
              85            0.52        0.631529        0.026041
              86            0.48        0.629767       0.0257977
              87            0.52        0.628506        0.025532
              88            0.44        0.626364       0.0253316
              89            0.28        0.622472       0.0253441
              90            0.28        0.618667       0.0253466
              91            0.28        0.614945       0.0253398
              92             0.4        0.612609       0.0251718
              93            0.28        0.609032        0.025154
              94            0.36        0.606383       0.0250255
              95            0.36        0.603789       0.0248961
              96            0.44        0.602083       0.0246952
              97             0.2        0.597938        0.024786
              98            0.16        0.593469       0.0249327
              99            0.12        0.588687       0.0251353
             100           -0.04          0.5824       0.0256582
             101            0.04         0.57703       0.0259601
             102            0.12        0.572549       0.0260894
             103               0         0.56699       0.0264216
             104           -0.04        0.561154       0.0268044
             105           -0.12        0.554667       0.0273229
             106           -0.12        0.548302       0.0277966
             107           -0.12        0.542056       0.0282298
             108           -0.08        0.536296       0.0285499
             109           -0.28        0.528807       0.0292538
             110            -0.2        0.522182       0.0297286
             111           -0.12        0.516396       0.0300185
             112           -0.08        0.511071       0.0302191
             113           -0.24        0.504425       0.0306739
             114           -0.28        0.497544        0.031167
             115            -0.2        0.491478       0.0314807
             116           -0.16        0.485862       0.0317063
             117           -0.04        0.481368       0.0317523
             118           -0.16        0.475932        0.031945
             119           -0.16        0.470588       0.0321205
             120            0.04           0.467       0.0320526
             121               0         0.46314       0.0320192
             122               0        0.459344        0.031981
             123            0.04        0.455935       0.0319022
             124            0.16        0.453548       0.0317341
             125            0.16          0.4512        0.031567
             126            0.12        0.448571       0.0314257
             127            0.12        0.445984       0.0312846
             128           -0.04        0.442188       0.0312697
             129            0.24         0.44062       0.0310666
             130            0.44        0.440615       0.0308276
             131            0.32        0.439695        0.030606
             132            0.32        0.438788       0.0303876
             133             0.4        0.438496       0.0301605
             134            0.36         0.43791       0.0299411
             135            0.48        0.438222       0.0297209
             136            0.52        0.438824       0.0295085
             137            0.48        0.439124       0.0292946
             138            0.36        0.438551        0.029088
             139            0.28         0.43741       0.0289011
             140            0.28        0.436286       0.0287165
             141            0.28        0.435177       0.0285342
             142             0.2        0.433521       0.0283813
             143            0.32        0.432727       0.0281939
             144            0.32        0.431944        0.028009
             145             0.4        0.431724       0.0278167
             146            0.24        0.430411       0.0276571
             147            0.04        0.427755       0.0275962
             148            0.04        0.425135       0.0275338
             149               0        0.422282       0.0274965
             150           -0.08        0.418933       0.0275163
             151            -0.2        0.414834       0.0276377
             152           -0.12        0.411316        0.027679
             153           -0.24        0.407059       0.0278235
             154               0        0.404416       0.0277681
             155            0.12        0.402581       0.0276495
             156            0.32        0.402051       0.0274773
             157             0.2        0.400764       0.0273324
             158             0.2        0.399494       0.0271889
             159             0.2        0.398239       0.0270469
             160             0.2           0.397       0.0269062
             161            0.16        0.395528       0.0267793
             162            0.28        0.394815       0.0266235
             163            0.24        0.393865       0.0264771
             164            0.28        0.393171       0.0263248
             165            0.32        0.392727        0.026169
             166            0.32        0.392289        0.026015
             167            0.28        0.391617       0.0258679
             168            0.24        0.390714       0.0257297
             169            0.24        0.389822       0.0255929
             170             0.2        0.388706       0.0254667
             171            0.12        0.387135       0.0253662
             172            0.08        0.385349       0.0252815
             173            0.24        0.384509       0.0251493
             174            0.36        0.384368       0.0250051
             175             0.4        0.384457       0.0248624
             176            0.24        0.383636       0.0247347
             177            0.24        0.382825       0.0246083
             178            0.36        0.382697       0.0244703
             179            0.32        0.382346       0.0243361
             180            0.16        0.381111       0.0242323
             181             0.2         0.38011        0.024119
             182            0.16        0.378901       0.0240168
             183             0.2        0.377923       0.0239055
             184            0.16        0.376739       0.0238049
             185            0.04        0.374919       0.0237457
             186            0.04        0.373118       0.0236862
             187            0.16        0.371979       0.0235869
             188            0.08        0.370426       0.0235125
             189            0.32        0.370159       0.0233897
             190            0.24        0.369474       0.0232766
             191            0.16        0.368377       0.0231805
             192            0.16        0.367292       0.0230852
             193             0.2        0.366425       0.0229818
             194            0.04        0.364742       0.0229249
             195            0.12        0.363487       0.0228417
             196           -0.12         0.36102       0.0228579
             197           -0.04        0.358985       0.0228324
             198               0        0.357172       0.0227889
             199            0.16        0.356181       0.0226959
             200            0.24          0.3556       0.0225899
             201            0.12        0.354428       0.0225079
             202            0.28        0.354059       0.0223995
             203            0.16        0.353103       0.0223095
             204            0.28        0.352745        0.022203
             205            0.32        0.352585       0.0220953
             206            0.08        0.351262       0.0220276
             207            0.24        0.350725       0.0219278
             208            0.08        0.349423        0.021861
             209            0.04        0.347943       0.0218064
             210            0.12        0.346857       0.0217296
             211           -0.04        0.345024       0.0217038
             212            -0.2        0.342453       0.0217532
             213            -0.4        0.338967       0.0219285
             214           -0.36        0.335701        0.022068
             215           -0.32        0.332651       0.0221751
             216           -0.32         0.32963       0.0222773
             217           -0.36        0.326452       0.0224002
             218           -0.48        0.322752       0.0226008
             219           -0.52        0.318904       0.0228229
             220           -0.44        0.315455       0.0229784
             221           -0.48        0.311855       0.0231546
             222            -0.4        0.308649       0.0232712
             223           -0.24        0.306188       0.0232966
             224           -0.16        0.304107       0.0232854
             225           -0.24        0.301689       0.0233071
             226            -0.2        0.299469       0.0233094
             227           -0.36        0.296564       0.0233871
             228            -0.4        0.293509       0.0234832
             229           -0.48        0.290131       0.0236224
             230           -0.48        0.286783       0.0237558
             231            -0.6        0.282944       0.0239611
             232           -0.64        0.278966       0.0241858
             233           -0.64        0.275021       0.0244015
             234            -0.6        0.271282       0.0245821
             235           -0.44        0.268255       0.0246631
             236           -0.48        0.265085       0.0247615
             237           -0.56        0.261603       0.0249006
             238           -0.52        0.258319       0.0250116
             239           -0.44        0.255397        0.025077
             240           -0.44          0.2525       0.0251394
             241           -0.16        0.250788       0.0250933
             242           -0.36        0.248264       0.0251162
             243           -0.48        0.245267        0.025191
             244            -0.6        0.241803       0.0253248
             245           -0.56        0.238531        0.025432
             246           -0.64        0.234959       0.0255782
             247           -0.68        0.231255       0.0257414
             248           -0.68        0.227581       0.0258986
             249           -0.72        0.223775       0.0260727
             250           -0.68         0.22016       0.0262178
             251           -0.72        0.216414       0.0263795
             252            -0.6        0.213175       0.0264731
             253           -0.56        0.210119       0.0265442
             254           -0.44        0.207559       0.0265628
             255           -0.32         0.20549       0.0265391
             256           -0.28        0.203594       0.0265031
             257           -0.36        0.201401       0.0264906
             258           -0.24         0.19969       0.0264431
             259           -0.16        0.198301       0.0263774
             260            0.08        0.197846       0.0262799
             261            0.12        0.197548       0.0261809
             262            0.24         0.19771       0.0260815
             263            0.08        0.197262       0.0259861
             264               0        0.196515       0.0258985
             265            0.08        0.196075       0.0258045
             266            0.04        0.195489       0.0257141
             267           -0.16        0.194157       0.0256523
             268           -0.24        0.192537       0.0256076
             269            -0.2        0.191078        0.025554
             270               0         0.19037       0.0254691
             271           -0.24        0.188782       0.0254246
             272            -0.2        0.187353       0.0253713
             273           -0.28        0.185641        0.025336
             274           -0.36         0.18365       0.0253217
             275           -0.36        0.181673       0.0253067
             276           -0.28            0.18       0.0252702
             277           -0.32        0.178195       0.0252434
             278            -0.2        0.176835       0.0251892
             279           -0.12        0.175771       0.0251214
             280           -0.16        0.174571       0.0250603
             281           -0.16        0.173381       0.0249994
             282           -0.16        0.172199       0.0249386
             283           -0.12        0.171166       0.0248719
             284           -0.12        0.170141       0.0248054
             285           -0.04        0.169404       0.0247294
             286           -0.08        0.168531       0.0246583
             287            0.08        0.168223       0.0245743
             288            0.12        0.168056       0.0244895
             289            0.04        0.167612       0.0244088
             290            0.08         0.16731       0.0243265
             291            0.16        0.167285       0.0242429
             292            0.24        0.167534       0.0241612
             293            0.24        0.167782         0.02408
             294            0.32        0.168299       0.0240036
             295            0.32        0.168814       0.0239278
             296            0.44         0.16973       0.0238645
             297            0.48        0.170774        0.023807
             298             0.4        0.171544       0.0237395
             299            0.36        0.172174       0.0236685
             300            0.44        0.173067       0.0236064
             301            0.52        0.174219       0.0235561
             302            0.48        0.175232       0.0234998
             303            0.48        0.176238       0.0234438
             304            0.36        0.176842       0.0233745
             305            0.36        0.177443       0.0233056
             306            0.52        0.178562       0.0232563
             307            0.48        0.179544       0.0232012
             308            0.36         0.18013       0.0231333
             309             0.4        0.180841       0.0230694
             310            0.48        0.181806       0.0230151
             311            0.36        0.182379       0.0229483
             312            0.28        0.182692       0.0228768
             313             0.4        0.183387       0.0228143
             314            0.28        0.183694       0.0227437
             315            0.36        0.184254       0.0226784
             316            0.48         0.18519       0.0226259
             317            0.52        0.186246       0.0225792
             318             0.4        0.186918       0.0225182
             319            0.28         0.18721       0.0224495
             320            0.24        0.187375       0.0223799
             321            0.16         0.18729       0.0223104
             322            0.16        0.187205       0.0222412
             323            0.04        0.186749       0.0221771
             324           -0.04        0.186049       0.0221196
             325            0.12        0.185846       0.0220525
             326            0.04        0.185399       0.0219894
             327           -0.04        0.184709        0.021933
             328           -0.08        0.183902       0.0218809
             329           -0.08          0.1831       0.0218291
             330           -0.16        0.182061       0.0217877
             331            -0.2        0.180906       0.0217525
             332           -0.16         0.17988       0.0217112
             333           -0.16        0.178859       0.0216699
             334           -0.04        0.178204        0.021615
             335               0        0.177672        0.021557
             336            0.04        0.177262       0.0214967
             337            0.16        0.177211        0.021433
             338            0.24        0.177396       0.0213704
             339            0.24        0.177581       0.0213082
             340            0.28        0.177882       0.0212476
             341            0.12        0.177713        0.021186
             342             0.2        0.177778       0.0211241
             343               0        0.177259       0.0210689
