#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.36987     1.36987           0
           2     1.34398     1.35693  0.00915491
           3     1.34278     1.35221  0.00721659
           4       1.363     1.35491  0.00589519
           5     1.35505     1.35494  0.00471623
           6     1.31319     1.34798  0.00746935
           7     1.35391     1.34883  0.00645016
           8     1.38945      1.3539  0.00737711
           9     1.36021      1.3546  0.00659064
          10     1.32118     1.35126  0.00672587
          11      1.3889     1.35468  0.00693023
          12     1.37761     1.35659  0.00661081
          13     1.35812     1.35671  0.00610333
          14     1.37384     1.35794   0.0057887
          15     1.34884     1.35733  0.00543443
          16     1.35893     1.35743  0.00509569
          17     1.37175     1.35827  0.00486504
          18     1.37351     1.35912   0.0046678
          19     1.34107     1.35817  0.00451772
          20     1.38585     1.35955  0.00449881
