#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.892124   -0.892124           0
           2   -0.892684   -0.892404  0.00019799
           3   -0.893628   -0.892812 0.000358327
           4   -0.890228   -0.892166 0.000620654
           5   -0.887284    -0.89119   0.0010046
           6    -0.89462   -0.891761 0.000986533
           7   -0.886524   -0.891013   0.0010931
           8   -0.886608   -0.890463  0.00108633
           9   -0.894276   -0.890886    0.001045
          10   -0.895356   -0.891333  0.00103168
          11   -0.893716    -0.89155  0.00096036
          12   -0.888876   -0.891327  0.00090581
          13   -0.892708   -0.891433 0.000842338
          14   -0.888452    -0.89122  0.00080864
          15    -0.89012   -0.891147  0.00075805
          16    -0.89128   -0.891155 0.000710718
          17   -0.900536   -0.891707 0.000856751
          18   -0.887448    -0.89147 0.000841193
          19   -0.891344   -0.891464 0.000796946
          20   -0.891596    -0.89147 0.000757127
