#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.684584   -0.684584           0
           2   -0.681976    -0.68328 0.000922067
           3   -0.682848   -0.683136 0.000625855
           4   -0.685732   -0.683785 0.000732276
           5   -0.683264   -0.683681 0.000593188
           6   -0.682528   -0.683489 0.000524517
           7   -0.684256   -0.683598 0.000460899
           8   -0.680868   -0.683257  0.00051435
           9     -0.6822    -0.68314 0.000470418
          10   -0.681004   -0.682926 0.000469353
          11   -0.682724   -0.682908 0.000427044
          12   -0.683356   -0.682945 0.000393088
          13   -0.683796    -0.68301 0.000368261
          14   -0.681628   -0.682912 0.000354949
          15   -0.681116   -0.682792 0.000350894
          16   -0.683832   -0.682857 0.000334929
          17   -0.682808   -0.682854  0.00031524
          18   -0.684196   -0.682929 0.000306414
          19   -0.684528   -0.683013 0.000301628
          20   -0.680796   -0.682902 0.000306236
