#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
               1             0.2             0.2               0
               2            0.36            0.28       0.0565685
               3            0.36        0.306667       0.0435465
               4            0.08            0.25       0.0589491
               5            0.36           0.272       0.0510999
               6            0.28        0.273333       0.0426006
               7            0.28        0.274286       0.0365255
               8            0.12           0.255       0.0366998
               9            0.24        0.253333       0.0326599
              10            0.12            0.24           0.032
              11            0.08        0.225455       0.0322276
              12             0.4            0.24       0.0326599
              13            0.44        0.255385       0.0335761
              14            0.44        0.268571       0.0336679
              15            0.36        0.274667       0.0319704
              16            0.12           0.265       0.0313996
              17             0.4        0.272941       0.0305403
              18           -0.04        0.255556       0.0334278
              19           -0.04            0.24       0.0351018
              20             0.2           0.238       0.0334036
              21             0.2         0.23619       0.0318619
              22           -0.04        0.223636       0.0327938
              23            0.16         0.22087       0.0314845
              24            0.28        0.223333       0.0302689
              25             0.2          0.2224       0.0290725
              26            0.32        0.226154       0.0281956
              27            0.52        0.237037       0.0291762
              28            0.32            0.24       0.0282843
              29            0.12        0.235862         0.02761
              30            0.12           0.232       0.0269584
              31            0.28        0.233548       0.0261332
              32             0.2          0.2325       0.0253376
              33            0.16        0.230303       0.0246648
              34            -0.2        0.217647       0.0269918
              35           -0.28        0.203429       0.0297306
              36           -0.16        0.193333       0.0305707
              37           -0.24        0.181622       0.0319091
              38           -0.24        0.170526        0.032942
              39           -0.08        0.164103       0.0327176
              40               0            0.16       0.0321559
              41               0        0.156098       0.0316075
              42           -0.56        0.139048        0.035154
              43           -0.52        0.123721       0.0375292
              44           -0.48            0.11       0.0391041
              45            -0.4       0.0986667       0.0398436
              46           -0.48        0.086087       0.0409152
              47           -0.36       0.0765957       0.0411308
              48            -0.4       0.0666667        0.041455
              49           -0.28       0.0595918       0.0412083
              50           -0.24          0.0536       0.0408174
              51            -0.2       0.0486275       0.0403188
              52               0       0.0476923       0.0395543
              53           -0.12       0.0445283       0.0389343
              54           -0.48       0.0348148       0.0394064
              55           -0.64       0.0225455        0.040555
              56           -0.52       0.0128571       0.0409717
              57           -0.52      0.00350877       0.0413056
              58           -0.32     -0.00206897       0.0409683
              59           -0.32     -0.00745763       0.0406268
              60           -0.24      -0.0113333       0.0401341
              61           -0.24       -0.015082       0.0396509
              62           -0.28      -0.0193548       0.0392409
              63            0.12      -0.0171429       0.0386803
              64           -0.16       -0.019375       0.0381403
