#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
             176           -0.56        0.146136       0.0181532
             177            -0.6        0.141921       0.0185336
             178           -0.52        0.138202       0.0187989
             179           -0.44        0.134972       0.0189693
             180           -0.44        0.131778        0.019131
             181           -0.44        0.128619       0.0192843
             182           -0.48        0.125275       0.0194662
             183           -0.36        0.122623       0.0195396
             184           -0.44        0.119565       0.0196712
             185           -0.48        0.116324         0.01983
             186           -0.48        0.113118       0.0199809
             187           -0.36        0.110588       0.0200336
             188           -0.24        0.108723       0.0200136
             189           -0.08        0.107725       0.0199326
             190           -0.04        0.106947       0.0198429
             191           -0.12        0.105759       0.0197745
             192            -0.2        0.104167       0.0197356
             193           -0.08        0.103212       0.0196564
             194           -0.28        0.101237       0.0196541
             195            -0.2       0.0996923       0.0196139
             196           -0.44       0.0969388       0.0197061
             197           -0.36       0.0946193       0.0197421
             198            -0.4       0.0921212       0.0197999
             199           -0.16       0.0908543       0.0197408
             200           -0.12          0.0898       0.0196703
             201           -0.24       0.0881592       0.0196407
             202           -0.08       0.0873267       0.0195611
             203           -0.08       0.0865025       0.0194821
             204           -0.04       0.0858824       0.0193965
             205            0.04       0.0856585       0.0193032
             206           -0.16        0.084466       0.0192463
             207           -0.08       0.0836715       0.0191697
             208            -0.2       0.0823077        0.019126
             209           -0.08       0.0815311       0.0190502
             210            0.04       0.0813333       0.0189605
             211            -0.2            0.08       0.0189175
             212           -0.24       0.0784906       0.0188884
             213            -0.4       0.0762441       0.0189328
             214           -0.36       0.0742056       0.0189538
             215           -0.16       0.0731163       0.0188969
             216           -0.12       0.0722222       0.0188306
             217           -0.32       0.0704147       0.0188303
             218           -0.28       0.0688073       0.0188124
             219           -0.28       0.0672146       0.0187938
             220           -0.12       0.0663636       0.0187277
             221            -0.2       0.0651584       0.0186817
             222           -0.08       0.0645045       0.0186089
             223            0.12       0.0647534       0.0185272
             224            0.16       0.0651786       0.0184493
             225            0.28       0.0661333        0.018392
             226            0.48       0.0679646       0.0184016
             227            0.16         0.06837        0.018325
             228            0.04       0.0682456        0.018245
             229            0.12       0.0684716       0.0181668
             230             0.2       0.0690435       0.0180968
             231            0.08       0.0690909       0.0180185
             232            0.12       0.0693103       0.0179422
             233            0.08       0.0693562       0.0178652
             234            0.12       0.0695726       0.0177902
             235            0.24       0.0702979       0.0177293
             236            0.32       0.0713559       0.0176857
             237               0       0.0710549       0.0176136
             238           -0.04       0.0705882       0.0175458
             239           -0.24       0.0692887       0.0175204
             240            -0.2       0.0681667       0.0174833
             241            0.08       0.0682158       0.0174108
             242           -0.08       0.0676033       0.0173497
             243           -0.24       0.0663374       0.0173244
             244           -0.44       0.0642623       0.0173772
             245            -0.4       0.0623673       0.0174093
             246           -0.44       0.0603252       0.0174579
             247           -0.52       0.0579757       0.0175446
             248            -0.4        0.056129       0.0175708
             249           -0.52       0.0538153       0.0176519
             250           -0.52         0.05152       0.0177299
             251           -0.52        0.049243       0.0178049
             252           -0.32       0.0477778       0.0177944
             253           -0.36        0.046166       0.0177969
             254           -0.12       0.0455118       0.0177389
             255           -0.04       0.0451765       0.0176725
             256           -0.04       0.0448438       0.0176066
             257            -0.2       0.0438911       0.0175638
             258           -0.08       0.0434109       0.0175023
             259            0.04       0.0433977       0.0174347
             260            0.28       0.0443077       0.0173914
             261            0.32        0.045364       0.0173568
             262             0.4       0.0467176       0.0173433
             263            0.32       0.0477567       0.0173084
             264            0.24       0.0484848       0.0172582
             265            0.36       0.0496604        0.017233
             266            0.32       0.0506767       0.0171982
             267            0.12       0.0509363       0.0171357
             268            0.04       0.0508955       0.0170719
             269            0.12       0.0511524       0.0170103
             270            0.24       0.0518519       0.0169617
             271               0       0.0516605       0.0169002
             272            0.12       0.0519118       0.0168399
             273            0.12       0.0521612       0.0167801
             274            0.12       0.0524088       0.0167207
             275            0.16          0.0528       0.0166644
             276             0.2       0.0533333       0.0166126
             277            0.12        0.053574       0.0165544
             278            0.24       0.0542446       0.0165084
             279             0.4       0.0554839       0.0164957
             280             0.4       0.0567143       0.0164826
             281             0.4       0.0579359       0.0164691
             282            0.44       0.0592908       0.0164664
             283             0.4       0.0604947       0.0164521
             284            0.32       0.0614085       0.0164196
             285             0.4       0.0625965       0.0164049
             286            0.52       0.0641958       0.0164253
             287            0.48       0.0656446       0.0164318
             288            0.56       0.0673611       0.0164642
             289            0.48       0.0687889        0.016469
             290            0.28       0.0695172       0.0164283
             291            0.36       0.0705155       0.0164022
             292            0.48       0.0719178       0.0164058
             293            0.48       0.0733106       0.0164089
             294            0.48       0.0746939       0.0164112
             295             0.4       0.0757966       0.0163926
             296             0.4       0.0768919       0.0163738
             297             0.2       0.0773064       0.0163239
             298            0.08       0.0773154       0.0162691
             299            0.12       0.0774582       0.0162153
             300            0.16       0.0777333       0.0161636
             301            0.24       0.0782724       0.0161189
             302            0.28       0.0789404       0.0160794
             303            0.04       0.0788119       0.0160268
             304            0.04       0.0786842       0.0159746
             305           -0.04       0.0782951        0.015927
             306               0       0.0780392        0.015877
             307           -0.12       0.0773941       0.0158384
             308           -0.16       0.0766234       0.0158057
             309           -0.04        0.076246        0.015759
             310            0.04        0.076129       0.0157086
             311               0       0.0758842         0.01566
             312            0.16       0.0761538       0.0156122
             313            0.12       0.0762939       0.0155629
             314            0.04       0.0761783       0.0155138
             315            0.08       0.0761905       0.0154645
             316               0       0.0759494       0.0154175
             317            0.16       0.0762145       0.0153711
             318            0.04       0.0761006       0.0153232
             319            -0.2       0.0752351       0.0152996
             320           -0.16          0.0745       0.0152694
             321           -0.24       0.0735202       0.0152533
             322           -0.08       0.0730435       0.0152133
             323            -0.2       0.0721981       0.0151897
             324           -0.24       0.0712346       0.0151734
             325           -0.16       0.0705231       0.0151433
             326           -0.12       0.0699387       0.0151082
             327           -0.12       0.0693578       0.0150731
             328           -0.12       0.0687805       0.0150382
             329           -0.16       0.0680851       0.0150086
             330           -0.28       0.0670303       0.0150001
             331           -0.32        0.065861       0.0150003
             332           -0.36       0.0645783       0.0150099
             333           -0.52       0.0628228       0.0150671
             334           -0.56       0.0609581       0.0151369
             335           -0.52       0.0592239       0.0151908
             336            -0.4       0.0578571       0.0152069
             337           -0.32       0.0567359       0.0152031
             338           -0.24        0.055858       0.0151834
             339           -0.24       0.0549853       0.0151637
             340           -0.28           0.054       0.0151511
             341            -0.4       0.0526686        0.015165
             342           -0.16       0.0520468       0.0151334
             343           -0.32       0.0509621       0.0151281
             344           -0.36       0.0497674       0.0151312
             345           -0.28       0.0488116       0.0151176
             346           -0.24       0.0479769       0.0150969
             347            -0.2       0.0472622       0.0150703
             348           -0.12       0.0467816       0.0150346
             349            -0.2       0.0460745       0.0150082
             350            -0.2       0.0453714       0.0149818
             351           -0.16       0.0447863       0.0149505
             352           -0.08       0.0444318       0.0149122
             353           -0.12        0.043966       0.0148773
             354            0.08       0.0440678       0.0148356
             355               0       0.0439437       0.0147943
             356           -0.04       0.0437079       0.0147546
             357            0.04       0.0436975       0.0147133
             358           -0.16       0.0431285       0.0146832
             359           -0.32        0.042117       0.0146771
             360           -0.36           0.041       0.0146788
             361           -0.32            0.04       0.0146721
             362            -0.2        0.039337       0.0146466
             363           -0.16       0.0387879       0.0146165
             364           -0.16       0.0382418       0.0145866
             365           -0.28       0.0373699       0.0145726
             366           -0.32       0.0363934       0.0145655
             367            -0.4       0.0352044       0.0145743
             368           -0.52       0.0336957       0.0146125
             369           -0.36       0.0326287       0.0146118
             370           -0.44       0.0313514       0.0146281
             371           -0.44       0.0300809       0.0146437
             372           -0.48       0.0287097       0.0146684
             373           -0.48       0.0273458       0.0146923
             374           -0.28       0.0265241        0.014676
             375           -0.24       0.0258133       0.0146541
             376           -0.08       0.0255319       0.0146178
             377           -0.24       0.0248276        0.014596
             378            -0.4       0.0237037       0.0146006
             379           -0.12       0.0233245        0.014567
             380           -0.24       0.0226316       0.0145451
             381           -0.28       0.0218373       0.0145286
             382           -0.08       0.0215707        0.014493
             383           -0.28       0.0207833       0.0144766
             384           -0.08       0.0205208       0.0144412
             385            0.12       0.0207792        0.014406
             386            0.32       0.0215544       0.0143896
             387             0.2       0.0220155       0.0143598
             388            0.12        0.022268        0.014325
             389            0.08       0.0224165       0.0142889
             390           -0.04       0.0222564       0.0142532
             391           -0.04       0.0220972       0.0142176
             392           -0.08       0.0218367       0.0141837
             393            0.16       0.0221883        0.014152
             394             0.2       0.0226396       0.0141233
             395               0       0.0225823       0.0140876
             396           -0.08       0.0223232       0.0140544
             397            0.04       0.0223678       0.0140191
             398           -0.08       0.0221106       0.0139862
             399           -0.12       0.0217544       0.0139557
             400           -0.04          0.0216       0.0139217
             401            0.04       0.0216459       0.0138871
             402            0.08        0.021791       0.0138533
             403           -0.04       0.0216377       0.0138197
             404           -0.16       0.0211881       0.0137928
             405           -0.24       0.0205432       0.0137739
             406           -0.32       0.0197044       0.0137654
             407           -0.08       0.0194595       0.0137338
             408           -0.04       0.0193137       0.0137009
             409               0       0.0192665       0.0136675
             410           -0.12       0.0189268       0.0136384
             411           -0.28       0.0181995       0.0136246
             412           -0.44       0.0170874       0.0136368
             413           -0.36       0.0161743       0.0136343
             414           -0.32       0.0153623       0.0136256
             415           -0.36       0.0144578       0.0136227
             416           -0.28         0.01375       0.0136083
             417           -0.36       0.0128537       0.0136052
             418            -0.4        0.011866       0.0136085
             419           -0.28       0.0111695       0.0135938
             420            -0.2       0.0106667       0.0135707
             421            -0.2       0.0101663       0.0135477
             422           -0.24      0.00957346       0.0135286
             423           -0.24      0.00898345       0.0135094
             424           -0.28      0.00830189       0.0134948
             425            -0.2      0.00781176       0.0134719
             426           -0.64      0.00629108       0.0135258
             427           -0.44       0.0052459       0.0135345
             428           -0.36      0.00439252       0.0135297
             429           -0.28       0.0037296       0.0135144
             430            -0.2      0.00325581       0.0134913
             431           -0.32       0.0025058       0.0134808
             432           -0.32      0.00175926       0.0134703
             433           -0.24      0.00120092       0.0134507
             434           -0.16     0.000829493       0.0134249
             435           -0.08     0.000643678       0.0133953
             436            -0.2     0.000183486       0.0133725
             437           -0.16    -0.000183066       0.0133469
             438            0.04    -9.13242e-05       0.0133167
             439            0.04     2.67124e-17       0.0132867
             440               0     2.66517e-17       0.0132565
             441           -0.04    -9.07029e-05       0.0132268
             442           -0.12    -0.000361991       0.0131996
             443           -0.08    -0.000541761       0.0131711
             444            0.04     -0.00045045       0.0131417
             445            0.16    -8.98876e-05       0.0131171
             446            0.32     0.000627803       0.0131073
             447            0.08     0.000805369       0.0130792
             448             0.2         0.00125       0.0130576
             449             0.2      0.00169265        0.013036
             450            0.24      0.00222222       0.0130178
             451            0.12      0.00248337       0.0129915
             452               0      0.00247788       0.0129628
             453               0      0.00247241       0.0129342
             454            0.08      0.00264317       0.0129068
             455           -0.08      0.00246154       0.0128797
             456           -0.08       0.0022807       0.0128528
             457           -0.12      0.00201313       0.0128274
             458               0      0.00200873       0.0127994
             459            0.04       0.0020915       0.0127718
             460            0.12      0.00234783       0.0127466
             461             0.2      0.00277657       0.0127262
             462            0.32       0.0034632       0.0127171
             463            0.44      0.00440605       0.0127246
             464            0.36      0.00517241       0.0127202
             465            0.24      0.00567742       0.0127029
             466            0.16      0.00600858       0.0126799
             467           -0.04      0.00591006       0.0126531
             468           -0.24      0.00538462        0.012637
             469           -0.16      0.00503198        0.012615
             470           -0.28      0.00442553       0.0126027
             471           -0.12      0.00416136       0.0125787
             472           -0.12      0.00389831       0.0125548
             473               0      0.00389006       0.0125283
             474           -0.04      0.00379747       0.0125022
             475           -0.16      0.00345263       0.0124806
             476               0      0.00344538       0.0124544
             477             0.2      0.00385744       0.0124351
             478            0.28      0.00443515       0.0124225
             479            0.36      0.00517745       0.0124187
             480            0.36      0.00591667       0.0124148
             481            0.52      0.00698545        0.012435
             482            0.68      0.00838174       0.0124873
             483            0.56      0.00952381       0.0125136
             484            0.48       0.0104959       0.0125254
             485            0.48       0.0114639       0.0125369
             486             0.4       0.0122634       0.0125366
             487            0.36       0.0129774       0.0125312
             488            0.24       0.0134426       0.0125141
             489            0.28       0.0139877       0.0125004
             490            0.36       0.0146939       0.0124948
             491            0.32       0.0153157       0.0124848
             492             0.4       0.0160976       0.0124839
             493             0.2       0.0164706       0.0124642
             494            0.24       0.0169231       0.0124472
             495            0.16       0.0172121       0.0124254
             496            0.04       0.0172581       0.0124004
             497               0       0.0172233       0.0123755
             498            0.08       0.0173494       0.0123513
             499            0.08       0.0174749       0.0123272
             500            0.16         0.01776       0.0123058
             501            0.12       0.0179641       0.0122829
             502               0       0.0179283       0.0122585
             503               0       0.0178926       0.0122342
             504           -0.12        0.017619        0.012213
             505           -0.24       0.0171089       0.0121995
             506           -0.28       0.0165217       0.0121895
             507           -0.28       0.0159369       0.0121795
             508           -0.24       0.0154331       0.0121659
             509           -0.28       0.0148527       0.0121558
             510           -0.36       0.0141176       0.0121542
             511           -0.36       0.0133855       0.0121524
             512           -0.32       0.0127344       0.0121461
             513           -0.44       0.0118519       0.0121545
             514            -0.4       0.0110506       0.0121572
             515           -0.04       0.0109515        0.012134
             516            0.08       0.0110853       0.0121112
             517               0       0.0110638       0.0120878
             518            0.24       0.0115058       0.0120726
             519            0.28       0.0120231       0.0120604
             520            0.44       0.0128462       0.0120652
             521            0.44        0.013666       0.0120699
             522            0.32       0.0142529       0.0120611
             523            0.32       0.0148375       0.0120521
             524            0.32       0.0154198       0.0120432
             525            0.28       0.0159238       0.0120308
             526            0.12       0.0161217       0.0120096
             527            0.16       0.0163947       0.0119899
             528             0.2       0.0167424       0.0119722
             529           -0.08       0.0165595        0.011951
             530           -0.12       0.0163019       0.0119312
             531            -0.2       0.0158945       0.0119157
             532            -0.2       0.0154887       0.0119002
