#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
               1           -0.08           -0.08               0
               2               0           -0.04       0.0282843
               3           -0.24       -0.106667       0.0576066
               4           -0.56           -0.22        0.107238
               5           -0.56          -0.288        0.105163
               6           -0.44       -0.313333       0.0906356
               7           -0.64           -0.36       0.0888934
               8            0.12            -0.3       0.0959166
               9            0.12       -0.253333       0.0959424
              10            0.32          -0.196        0.102051
              11            0.32       -0.149091        0.102992
              12            0.24       -0.116667       0.0993824
              13            0.08       -0.101538       0.0928818
              14            0.24      -0.0771429       0.0893938
              15            0.48           -0.04       0.0908234
              16             0.4         -0.0125       0.0892131
              17             0.2     2.28575e-17       0.0848365
              18            0.24       0.0133333       0.0811644
              19            0.12       0.0189474       0.0770865
              20             0.4           0.038         0.07555
              21            0.36       0.0533333       0.0734919
              22            0.24       0.0618182       0.0706395
              23             0.4       0.0765217       0.0690815
              24            0.28           0.085       0.0667213
              25            0.04          0.0832       0.0640768
              26             0.2       0.0876923       0.0617695
              27            0.16       0.0903704       0.0595398
              28            0.08            0.09       0.0574145
              29            0.12       0.0910345        0.055444
              30            0.04       0.0893333        0.053622
              31            0.08       0.0890323       0.0518931
              32           -0.04           0.085       0.0504279
              33           -0.32       0.0727273        0.050371
              34           -0.12       0.0670588       0.0492074
              35             0.2       0.0708571       0.0479479
              36            0.36       0.0788889       0.0472839
              37            0.16       0.0810811       0.0460568
              38            0.08       0.0810526       0.0448447
              39           -0.16       0.0748718       0.0441188
              40           -0.12            0.07       0.0432839
              41           -0.08       0.0663415       0.0423826
              42               0       0.0647619       0.0414029
              43            0.28       0.0697674       0.0407415
              44            0.28       0.0745455       0.0400947
              45             0.2       0.0773333       0.0393006
              46            0.12       0.0782609       0.0384571
              47            0.16            0.08       0.0376782
              48            0.16       0.0816667       0.0369301
              49           -0.04       0.0791837       0.0362598
              50           -0.44          0.0688       0.0369915
              51           -0.16       0.0643137       0.0365372
              52               0       0.0630769       0.0358555
              53            0.36       0.0686792        0.035614
              54            0.16       0.0703704       0.0349946
              55               0       0.0690909       0.0343817
              56             0.2       0.0714286       0.0338471
              57            0.04       0.0708772       0.0332578
              58             0.2       0.0731034       0.0327588
              59           -0.16       0.0691525        0.032441
              60            -0.2       0.0646667       0.0322089
              61           -0.36       0.0577049       0.0324245
              62           -0.44       0.0496774       0.0328803
              63           -0.28       0.0444444       0.0327721
              64            0.08           0.045       0.0322648
              65           -0.12       0.0424615       0.0318681
              66            0.32       0.0466667       0.0316615
              67            0.36       0.0513433       0.0315324
              68             0.2       0.0535294       0.0311444
