#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.684788   -0.684788           0
           2   -0.680888   -0.682838  0.00137886
           3   -0.682032   -0.682569 0.000945051
           4   -0.683272   -0.682745 0.000724931
           5   -0.683076   -0.682811  0.00058296
           6   -0.681328   -0.682564 0.000535653
           7    -0.68328   -0.682666 0.000468796
           8    -0.68338   -0.682756 0.000418599
           9   -0.680608   -0.682517 0.000434809
          10    -0.68462   -0.682727 0.000439255
          11    -0.68332   -0.682781 0.000402615
          12   -0.683664   -0.682855 0.000375727
          13   -0.684332   -0.682968 0.000363604
          14   -0.680308   -0.682778  0.00038409
          15   -0.684516   -0.682894 0.000375548
          16   -0.683496   -0.682932 0.000353956
          17   -0.682796   -0.682924 0.000333225
          18   -0.683028    -0.68293 0.000314763
          19   -0.682788   -0.682922 0.000298284
          20   -0.682204   -0.682886 0.000285523
