#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.9923     24.9923           0
           2     25.1359     25.0641   0.0507501
           3     24.9842     25.0375   0.0402155
           4     24.4014     24.8785     0.14098
           5     21.8843     24.2796    0.547359
           6      26.084     24.5804    0.532371
           7     21.1386     24.0887    0.644549
           8      22.825     23.9307    0.583015
           9     26.2621     24.1898    0.572903
          10     25.1861     24.2894    0.524205
          11     25.6575     24.4138    0.491083
          12     22.4808     24.2527    0.475844
          13     25.6935     24.3635    0.451963
          14     21.8333     24.1828    0.454379
          15     23.7107     24.1513    0.425176
          16     22.6166     24.0554    0.409279
          17     29.4213      24.371     0.49209
          18     20.9581     24.1814    0.499949
          19     24.0152     24.1727    0.473712
          20     24.4543     24.1868    0.450236
