#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     78.5003     78.5003           0
           2     79.2161     78.8582    0.253085
           3     75.1537     77.6234     1.02227
           4     75.8452     77.1788     0.85793
           5     80.1214     77.7673    0.864956
           6     77.0427     77.6466     0.72918
           7     73.2553     77.0192    0.853207
           8      81.069     77.5255    0.884064
           9     80.9253     77.9032    0.862775
          10     83.2131     78.4342    0.925585
          11     83.7927     78.9213     0.96112
          12     78.9837     78.9265    0.881041
          13     77.4877     78.8159    0.820191
          14      75.058     78.5474    0.804329
          15     83.9296     78.9062    0.826876
          16      83.564     79.1974    0.824849
          17       84.81     79.5275    0.839808
          18     71.7934     79.0978    0.896355
          19     80.3242     79.1624      0.8515
          20      76.446     79.0266    0.819685
