#     TEMP:       M_AVE:      ERROR:
	2.0		-0.462037 	0.000257799
	1.7		-0.528303 	0.000285514
	1.5		-0.582512 	0.000348301
	1.2		-0.682902 	0.000306236
	1.0		-0.76167 	0.000369466
	0.7		-0.89147 	0.000757127
	0.5		-0.971563  0.00099517
           

