#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.2522855       0.2522855               0
               2       0.2519789       0.2521322    0.0001084062
               3       0.2499971       0.2514205     0.000585568
               4        0.245416       0.2499194      0.00137219
               5       0.2469619       0.2493279     0.001218586
               6       0.2480393       0.2491131     0.001034241
               7        0.250816       0.2493564     0.000914656
               8       0.2538342       0.2499161    0.0009563701
               9       0.2544237        0.250417    0.0009724463
              10       0.2484317       0.2502184     0.000895238
              11       0.2483779       0.2500511    0.0008293412
              12       0.2482407       0.2499003      0.00077383
              13       0.2506005       0.2499541    0.0007161767
              14       0.2491478       0.2498965    0.0006673329
              15       0.2488346       0.2498257    0.0006265877
              16       0.2519611       0.2499592    0.0006014718
              17       0.2493104        0.249921    0.0005673007
              18        0.249166       0.2498791    0.0005373327
              19       0.2490011       0.2498329    0.0005110351
              20       0.2475803       0.2497202    0.0004977403
              21       0.2529854       0.2498757    0.0004977312
              22       0.2504249       0.2499007    0.0004757326
              23       0.2516384       0.2499762    0.0004610093
              24       0.2477372       0.2498829    0.0004511412
              25       0.2480687       0.2498104    0.0004388936
              26       0.2534079       0.2499487     0.000443288
              27       0.2507519       0.2499785    0.0004278668
              28       0.2498498       0.2499739    0.0004126105
              29       0.2481143       0.2499098    0.0004033347
              30       0.2478615       0.2498415    0.0003956269
              31       0.2503433       0.2498577    0.0003831958
              32        0.245706       0.2497279    0.0003925702
              33       0.2492537       0.2497136    0.0003809371
              34       0.2483976       0.2496749    0.0003716941
              35       0.2501115       0.2496873    0.0003612836
              36       0.2466425       0.2496028    0.0003610123
              37       0.2472872       0.2495402    0.0003566382
              38       0.2456545       0.2494379    0.0003616154
              39       0.2529921       0.2495291    0.0003636451
              40       0.2483078       0.2494985    0.0003558334
              41       0.2507971       0.2495302    0.0003485612
              42       0.2550178       0.2496609     0.000363927
              43       0.2508613       0.2496888    0.0003565328
              44       0.2476548       0.2496425    0.0003514137
              45        0.245833       0.2495579    0.0003536547
              46       0.2469712       0.2495017    0.0003504087
              47       0.2502351       0.2495173    0.0003433005
              48       0.2474083       0.2494733    0.0003389482
              49       0.2489783       0.2494632    0.0003321815
              50       0.2508851       0.2494917    0.0003267528
              51       0.2466742       0.2494364    0.0003249823
              52        0.248991       0.2494278    0.0003188455
              53       0.2527443       0.2494904    0.0003189106
              54       0.2521875       0.2495404    0.0003168919
              55       0.2526047       0.2495961    0.0003159902
              56       0.2485455       0.2495773     0.000310904
              57       0.2470981       0.2495338    0.0003084771
              58       0.2480153       0.2495076    0.0003042675
              59        0.248085       0.2494835    0.0003000644
              60       0.2466507       0.2494363    0.0002987548
              61       0.2480303       0.2494133     0.000294745
              62       0.2467776       0.2493708    0.0002930407
              63       0.2488983       0.2493633    0.0002884853
              64        0.247644       0.2493364    0.0002852256
              65       0.2474941       0.2493081    0.0002822423
              66        0.250083       0.2493198      0.00027821
              67       0.2487552       0.2493114    0.0002741852
              68       0.2502982       0.2493259    0.0002705369
              69       0.2499164       0.2493344    0.0002667514
              70       0.2467507       0.2492975    0.0002654822
              71       0.2562721       0.2493958    0.0002793267
              72       0.2524799       0.2494386    0.0002787121
              73       0.2492599       0.2494361    0.0002749049
              74        0.249233       0.2494334    0.0002712037
              75       0.2445143       0.2493678    0.0002754044
              76       0.2474337       0.2493424    0.0002729539
              77       0.2522104       0.2493796    0.0002719386
              78       0.2409622       0.2492717    0.0002890727
              79       0.2445445       0.2492119    0.0002915411
              80       0.2496939       0.2492179    0.0002879591
              81       0.2452006       0.2491683    0.0002886436
              82       0.2461269       0.2491312    0.0002874968
              83       0.2505755       0.2491486    0.0002845591
              84       0.2456259       0.2491067    0.0002842449
              85       0.2498007       0.2491148    0.0002810181
              86       0.2498876       0.2491238    0.0002778941
              87       0.2432428       0.2490562     0.000282802
              88       0.2469109       0.2490318    0.0002806371
              89       0.2522186       0.2490676    0.0002797589
              90       0.2502419       0.2490807    0.0002769545
              91       0.2504405       0.2490956    0.0002743139
              92       0.2484706       0.2490888    0.0002714163
              93       0.2485901       0.2490835    0.0002685508
              94       0.2508232        0.249102    0.0002663309
              95       0.2501298       0.2491128    0.0002637471
              96       0.2474592       0.2490956    0.0002615616
              97       0.2504068       0.2491091    0.0002592142
              98       0.2477497       0.2490952      0.00025694
              99       0.2496106       0.2491004    0.0002543974
             100       0.2548651       0.2491581    0.0002583024
