#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.2491604       0.2491604               0
               2        0.247903       0.2485317    0.0004445411
               3       0.2465571       0.2478735    0.0006137114
               4        0.244824       0.2471111    0.0008048324
               5       0.2475796       0.2472048    0.0006492976
               6       0.2490553       0.2475132    0.0006099477
               7       0.2430339       0.2468733    0.0007901365
               8       0.2523101       0.2475529    0.0009392073
               9       0.2451139       0.2472819    0.0008730742
              10       0.2486584       0.2474196    0.0007965436
              11       0.2475896        0.247435    0.0007242805
              12       0.2555321       0.2481098    0.0009263628
              13       0.2507791       0.2483151    0.0008775648
              14        0.252774       0.2486336    0.0008707608
              15       0.2479168       0.2485858    0.0008140202
              16       0.2488845       0.2486045    0.0007633579
              17       0.2448905        0.248386    0.0007490648
              18       0.2452935       0.2482142     0.000726886
              19       0.2499447       0.2483053    0.0006943112
              20       0.2495115       0.2483656    0.0006622099
