#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.2923643       0.2923643               0
               2       0.2935897        0.292977    0.0004332507
               3       0.2893086       0.2917542     0.001039344
               4       0.2917508       0.2917534    0.0007795087
               5       0.2893842       0.2912795    0.0007539943
               6       0.2907697       0.2911946    0.0006330985
               7       0.2950963       0.2917519    0.0007488531
               8       0.3002287       0.2928115     0.001188164
               9       0.2940392       0.2929479     0.001063947
              10       0.2995049       0.2936036     0.001141862
              11       0.2921186       0.2934686     0.001046007
              12       0.2922419       0.2933664    0.0009638219
              13       0.3051779        0.294275     0.001246413
              14       0.2917379       0.2940938     0.001170484
              15       0.2873642       0.2936451      0.00117529
              16       0.2958552       0.2937833     0.001109922
              17       0.2899581       0.2935582     0.001067197
              18        0.292615       0.2935058     0.001009194
              19       0.2890834       0.2932731    0.0009825532
              20        0.299956       0.2936072    0.0009886124
