#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
               1           -0.12           -0.12               0
               2           -0.08            -0.1       0.0141421
               3            0.08           -0.04       0.0498888
               4            0.28            0.04       0.0787401
               5            -0.2          -0.008       0.0762312
               6           -0.16      -0.0333333       0.0676045
               7           -0.32      -0.0742857       0.0692484
               8           -0.04           -0.07       0.0607248
               9           -0.08      -0.0711111       0.0539878
              10            0.08          -0.056       0.0506596
              11            0.36      -0.0181818       0.0584909
              12            0.32            0.01       0.0600231
              13             0.2       0.0246154       0.0571577
              14           -0.08       0.0171429       0.0535612
              15               0           0.016       0.0500027
              16               0           0.015       0.0468875
              17            0.08       0.0188235        0.044285
              18            0.36       0.0377778       0.0457014
              19            0.24       0.0484211       0.0445181
              20             0.4           0.066       0.0456311
              21            0.24       0.0742857       0.0442041
              22             0.4       0.0890909       0.0446053
              23             0.2        0.093913       0.0429258
              24            0.16       0.0966667       0.0412254
              25            0.16          0.0992       0.0396542
              26            0.08       0.0984615       0.0381359
              27            0.04       0.0962963       0.0367849
              28            0.24        0.101429       0.0358274
              29            0.24        0.106207       0.0349091
              30            0.04           0.104       0.0338152
              31             0.2        0.107097       0.0328659
              32             0.2            0.11       0.0319668
              33            0.08        0.109091        0.031011
              34            0.24        0.112941        0.030337
              35            0.08           0.112       0.0294848
              36            0.12        0.112222       0.0286666
              37           -0.04        0.108108       0.0281855
              38           -0.04        0.104211        0.027712
              39               0        0.101538       0.0271299
              40           -0.32           0.091       0.0284249
              41           -0.24       0.0829268       0.0288553
              42            -0.2       0.0761905       0.0289439
              43            0.04       0.0753488        0.028283
              44            0.28            0.08       0.0280201
              45            0.16       0.0817778       0.0274537
              46            0.04       0.0808696       0.0268719
              47            0.12       0.0817021       0.0263131
              48            0.04       0.0808333       0.0257792
              49           -0.04       0.0783673       0.0253708
              50               0          0.0768       0.0249117
              51           -0.12       0.0729412       0.0247203
              52           -0.12       0.0692308       0.0245218
              53            -0.2       0.0641509       0.0245797
              54           -0.04       0.0622222       0.0242001
              55            0.24       0.0654545       0.0239749
              56               0       0.0642857       0.0235753
              57            0.12       0.0652632       0.0231819
              58            0.16       0.0668966       0.0228397
              59            0.24       0.0698305       0.0226403
              60             0.2           0.072       0.0223666
              61            0.24       0.0747541       0.0221689
              62            0.28       0.0780645       0.0220571
              63            0.04       0.0774603       0.0217153
              64           -0.12        0.074375        0.021594
              65           -0.12       0.0713846       0.0214679
              66           -0.28       0.0660606       0.0217928
              67           -0.16       0.0626866       0.0217271
              68            0.08       0.0629412       0.0214091
              69            0.04       0.0626087       0.0211014
              70               0       0.0617143       0.0208189
              71            0.12       0.0625352       0.0205419
              72            0.12       0.0633333       0.0202721
              73            0.12       0.0641096       0.0200092
              74           -0.04       0.0627027       0.0197882
              75            0.16           0.064       0.0195669
              76            0.04       0.0636842        0.019312
              77            0.08       0.0638961       0.0190623
              78           -0.08       0.0620513        0.018907
              79           -0.04       0.0607595       0.0187117
              80           -0.12          0.0585       0.0186138
              81           -0.36       0.0533333       0.0190876
              82            0.08       0.0536585       0.0188575
              83            0.52       0.0592771       0.0194494
              84            0.32        0.062381       0.0194639
              85             0.2           0.064       0.0193022
              86            0.16       0.0651163         0.01911
              87            0.16       0.0662069       0.0189214
              88            0.24       0.0681818       0.0188092
              89               0       0.0674157       0.0186134
              90            0.08       0.0675556       0.0184071
              91            0.12       0.0681319       0.0182139
              92            0.08       0.0682609       0.0180164
              93           -0.12       0.0662366        0.017936
              94           -0.04       0.0651064       0.0177808
              95            0.08       0.0652632       0.0175943
              96             0.2       0.0666667       0.0174669
              97            0.12       0.0672165       0.0172955
              98           -0.04       0.0661224       0.0171536
              99            0.12       0.0666667       0.0169889
             100           -0.04          0.0656       0.0168525
             101               0       0.0649505       0.0166981
             102               0       0.0643137       0.0165466
             103            0.04       0.0640777       0.0163876
             104            0.04       0.0638462       0.0162317
             105            -0.2       0.0613333       0.0162704
             106            0.16       0.0622642       0.0161435
             107            0.04       0.0620561        0.015994
             108            0.12       0.0625926       0.0158549
             109            0.28       0.0645872       0.0158344
             110            0.16       0.0654545       0.0157142
             111            0.36       0.0681081       0.0157951
             112            0.44       0.0714286       0.0159993
             113            0.12       0.0718584       0.0158635
             114            0.24       0.0733333       0.0157927
             115            0.28       0.0751304       0.0157573
             116            0.32       0.0772414       0.0157622
             117            0.52       0.0810256       0.0160754
             118            0.16       0.0816949       0.0159531
             119            0.24       0.0830252       0.0158744
             120            0.44           0.086       0.0160184
             121            0.24       0.0872727       0.0159365
             122            0.24       0.0885246        0.015855
             123            0.32       0.0904065       0.0158373
             124            0.28       0.0919355       0.0157833
             125            0.08         0.09184       0.0156573
             126            -0.2       0.0895238       0.0157034
             127               0       0.0888189       0.0155956
             128           -0.08          0.0875       0.0155294
             129            0.16        0.088062       0.0154192
             130               0       0.0873846       0.0153154
             131           -0.04       0.0864122       0.0152294
             132           -0.12       0.0848485       0.0151941
             133           -0.16       0.0830075       0.0151909
             134               0       0.0823881       0.0150902
             135           -0.04       0.0814815       0.0150056
             136            0.32       0.0832353       0.0149974
             137             0.2       0.0840876       0.0149122
             138            0.12       0.0843478       0.0148064
             139            0.12       0.0846043       0.0147021
             140            0.16       0.0851429       0.0146069
             141            0.24       0.0862411       0.0145446
             142            0.12       0.0864789       0.0144441
             143            0.28       0.0878322       0.0144063
             144            0.32       0.0894444       0.0143962
             145            0.28       0.0907586       0.0143568
             146             0.2       0.0915068       0.0142779
             147            0.08       0.0914286        0.014181
             148           -0.04       0.0905405        0.014113
             149             0.2       0.0912752       0.0140374
             150            0.12       0.0914667       0.0139451
             151           -0.12       0.0900662       0.0139229
             152           -0.04       0.0892105       0.0138576
             153           -0.16       0.0875817       0.0138624
             154           -0.04       0.0867532       0.0137971
             155           -0.04       0.0859355       0.0137323
             156             0.2       0.0866667       0.0136637
             157            0.04       0.0863694       0.0135799
             158            0.16       0.0868354        0.013502
             159            0.16       0.0872956       0.0134249
             160           -0.08         0.08625       0.0133816
             161           -0.08       0.0852174       0.0133383
             162            0.08       0.0851852        0.013256
             163               0       0.0846626        0.013185
             164            -0.2       0.0829268       0.0132183
             165               0       0.0824242       0.0131478
             166            0.16       0.0828916       0.0130769
             167            0.16       0.0833533       0.0130067
             168            0.12       0.0835714       0.0129311
             169            0.12        0.083787       0.0128564
             170           -0.04       0.0830588       0.0128014
             171            0.04        0.082807        0.012729
             172           -0.04        0.082093        0.012675
             173            0.12       0.0823121       0.0126036
             174            0.12       0.0825287       0.0125331
             175           -0.04       0.0818286        0.012481
             176           -0.04       0.0811364       0.0124293
             177           -0.04        0.080452       0.0123779
             178            0.04       0.0802247       0.0123104
             179            0.04            0.08       0.0122437
             180            0.08            0.08       0.0121757
             181            0.12        0.080221       0.0121104
             182           -0.08       0.0793407       0.0120758
             183            0.16       0.0797814       0.0120179
             184               0       0.0793478       0.0119604
             185           -0.08       0.0784865       0.0119267
             186           -0.28       0.0765591       0.0120173
             187           -0.24       0.0748663       0.0120717
             188           -0.32        0.072766       0.0121888
             189           -0.12        0.071746       0.0121669
             190               0       0.0713684       0.0121087
             191            0.04       0.0712042       0.0120465
             192           -0.04        0.070625       0.0119976
             193            0.04       0.0704663       0.0119365
             194           -0.04       0.0698969       0.0118886
             195           -0.08       0.0691282       0.0118524
             196           -0.24        0.067551       0.0118964
             197           -0.16       0.0663959        0.011892
             198           -0.16       0.0652525       0.0118868
             199           -0.12       0.0643216       0.0118634
             200           -0.12          0.0634       0.0118399
             201           -0.12       0.0624876       0.0118161
             202           -0.08       0.0617822       0.0117786
             203            -0.2       0.0604926        0.011791
             204               0       0.0601961       0.0117369
             205           -0.04       0.0597073       0.0116898
             206           -0.08       0.0590291       0.0116527
             207            0.24       0.0599034       0.0116292
             208            0.04       0.0598077       0.0115737
             209            0.12       0.0600957       0.0115219
             210            0.12        0.060381       0.0114705
             211               0       0.0600948       0.0114197
             212           -0.04       0.0596226       0.0113756
