#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.48269     4.48269           0
           2     4.27322     4.37795     0.07406
           3     4.41098     4.38896   0.0501847
           4     4.45723     4.40603   0.0404365
           5     4.19902     4.36463   0.0491705
           6     4.36518     4.36472   0.0409755
           7     4.55553     4.39198   0.0432485
           8     4.54634     4.41127   0.0419262
           9     4.39553     4.40952   0.0373042
          10     4.52572     4.42114   0.0353372
          11     4.43427     4.42234   0.0321449
          12     4.46083     4.42554   0.0296258
          13     4.46913      4.4289   0.0275359
          14     4.39327     4.42635   0.0256864
          15     4.56792     4.43579   0.0256494
          16      4.6787     4.45097   0.0281836
          17     4.39256     4.44754   0.0267343
          18     4.24042     4.43603   0.0276144
          19     4.37175     4.43265   0.0263675
          20     4.35984     4.42901   0.0252992
