#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.46076     2.46076           0
           2     2.51421     2.48749   0.0188996
           3     2.42073     2.46523   0.0221103
           4     2.52234     2.47951   0.0206849
           5     2.56349     2.49631   0.0223493
           6     2.53474     2.50271   0.0195211
           7     2.61851     2.51925   0.0226833
           8     2.57852     2.52666   0.0210229
           9     2.52243     2.52619   0.0186923
          10     2.48137     2.52171   0.0173522
          11      2.4826     2.51815   0.0161348
          12     2.48099     2.51506   0.0150845
          13     2.36234     2.50331   0.0179238
          14     2.44535     2.49917   0.0171149
          15     2.53122     2.50131   0.0161067
          16     2.47308     2.49954   0.0151964
          17      2.5252     2.50105   0.0143772
          18     2.58774     2.50587   0.0143625
          19     2.34714     2.49751    0.015851
          20     2.46925      2.4961   0.0151213
