#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.4337619       0.4337619               0
               2       0.4450376       0.4393998     0.003986565
               3       0.4185038       0.4324344     0.006277521
               4       0.4273516       0.4311637     0.004835038
               5       0.4289013       0.4307112     0.003889147
               6       0.4337976       0.4312256     0.003274798
               7       0.4345573       0.4317016     0.002841346
               8       0.4070156       0.4286158      0.00380955
               9       0.4429061       0.4302037     0.003702405
              10       0.4531448       0.4324978     0.003979949
              11       0.4194192       0.4313088     0.003791572
              12        0.421773       0.4305142     0.003557906
              13       0.4154445        0.429355     0.003467923
              14       0.4183413       0.4285683      0.00330824
              15       0.4373525       0.4291539     0.003139095
              16       0.4068432       0.4277595     0.003237831
              17       0.4482958       0.4289675     0.003264957
              18       0.4374554        0.429439     0.003117437
              19       0.4606412       0.4310813     0.003358166
              20       0.4443265       0.4317435     0.003254905
