#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.892816   -0.892816           0
           2   -0.893632   -0.893224   0.0002885
           3   -0.888824   -0.891757  0.00121288
           4   -0.886508   -0.890445  0.00145573
           5   -0.894912   -0.891338  0.00141237
           6   -0.894848   -0.891923  0.00129243
           7   -0.889628   -0.891595  0.00114864
           8   -0.890356    -0.89144  0.00101546
           9   -0.894988   -0.891835 0.000976138
          10   -0.897604   -0.892412  0.00103507
          11   -0.890108   -0.892202 0.000961925
          12   -0.896716   -0.892578 0.000952475
          13    -0.88794   -0.892222 0.000943671
          14   -0.888472   -0.891954 0.000913482
          15    -0.89184   -0.891946 0.000852614
          16   -0.891348   -0.891909 0.000800145
          17   -0.887396   -0.891643 0.000795894
          18   -0.894096    -0.89178 0.000763253
          19   -0.898888   -0.892154   0.0008096
          20     -0.8924   -0.892166 0.000769214
