#     TEMP:       M_AVE:      ERROR:
	2.0		0.1970335    	0.0005193706
	1.7		0.2483656    	0.0006622099
	1.5		0.2936072    	0.0009886124
	1.2		0.368277      	0.00132367
	1.0		0.420703     	0.001565305
	0.7		0.4317435     	0.003254905
	0.5		0.3262158	0.006839788
           

