#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     23.2848     23.2848           0
           2       24.93     24.1074     0.58166
           3      22.466     23.5603    0.591542
           4     22.1777     23.2146    0.535187
           5     25.1038     23.5925    0.545458
           6     25.3775       23.89    0.529505
           7     23.8641     23.8863    0.453874
           8     23.4832     23.8359    0.399927
           9     26.1542     24.0935    0.430524
          10     27.1462     24.3988    0.483741
          11     24.1626     24.3773    0.440241
          12     25.9463      24.508    0.422524
          13     21.8801     24.3059    0.435704
          14     22.5643     24.1815    0.421968
          15     25.2722     24.2542    0.400053
          16     23.7229      24.221    0.376425
          17     23.9493      24.205    0.354621
          18      25.274     24.2644    0.339857
          19     27.3851     24.4287    0.359473
          20     25.6108     24.4878    0.346325
